employee_id,age,generation,gender,department,job_level,is_manager,tenure_years,salary_usd,salary_vs_market_pct,work_arrangement,rto_mandate,days_in_office_required,commute_minutes,prefers_remote,flexibility_importance,ai_tools_adoption,weekly_hours,after_hours_work,burnout_score,manager_relationship_score,manager_1on1_per_month,engagement_score,promotions_last_2y,career_growth_score,recent_layoff_round,team_size,attrition_reason,attrition
EMP000018,25,Gen Z,Male,Operations,Director,1,4.2,228000,-6.1,hybrid,0,2,33,1,2,regular,60,0,6.5,4,0,79,1,5,0,12,stayed,0
EMP000019,37,Millennial,Male,Marketing,Mid,0,1.9,108000,14.8,remote,0,0,44,1,1,light,48,0,5.3,4,1,64,0,5,0,22,stayed,0
EMP000020,20,Gen Z,Female,Operations,Senior,0,1.8,100000,-18.0,onsite,0,4,13,0,2,regular,38,0,5.8,5,1,84,0,5,0,15,stayed,0
EMP000021,21,Gen Z,Female,Data,Lead,1,2.2,138000,0.1,remote,0,0,31,0,3,light,59,0,6.7,3,1,76,0,1,1,7,stayed,0
EMP000022,55,Gen X,Male,Finance,Lead,1,2.3,127000,4.7,onsite,0,4,31,1,4,none,52,1,2.7,2,4,57,0,5,0,7,stayed,0
EMP000023,20,Gen Z,Female,Product,Junior,0,2.8,40000,-15.5,hybrid,0,2,6,1,5,regular,58,0,6.1,5,1,75,1,2,0,15,stayed,0
EMP000024,23,Gen Z,Male,Engineering,Junior,0,3.1,69000,1.0,hybrid,1,4,17,1,1,regular,44,0,6.8,2,1,48,0,5,0,24,rto_inflexibility,1
EMP000025,34,Millennial,Male,Product,Junior,0,5.5,61000,-3.0,onsite,0,4,4,1,3,regular,34,0,4.3,1,2,66,0,4,0,22,stayed,0
EMP000026,26,Gen Z,Female,HR,Junior,0,4.5,52000,-11.5,hybrid,0,3,50,1,5,light,35,0,6.6,1,0,55,0,2,0,19,stayed,0
EMP000027,37,Millennial,Male,Operations,Junior,0,2.6,64000,7.9,hybrid,1,5,22,1,5,none,51,0,4.9,1,4,58,1,3,0,15,stayed,0
EMP000028,32,Millennial,Female,Sales,Manager,1,0.2,186000,-6.2,remote,1,2,16,0,1,none,42,0,6.6,3,0,77,0,5,0,15,stayed,0
EMP000029,41,Millennial,Female,Sales,Senior,0,4.6,158000,16.8,hybrid,0,2,78,1,1,regular,43,0,3.2,1,2,59,0,1,0,15,stayed,0
EMP000030,32,Millennial,Male,Data,Junior,0,2.5,51000,-5.1,onsite,0,5,45,1,2,light,47,0,2.4,5,2,98,0,1,0,3,stayed,0
EMP000031,44,Gen X,Female,Data,Mid,0,0.9,97000,8.1,onsite,0,4,33,0,2,regular,30,0,2.9,4,0,89,0,4,0,15,stayed,0
EMP000032,33,Millennial,Female,Marketing,Senior,0,5.3,142000,-0.5,onsite,1,5,44,1,3,none,49,0,7.4,2,0,56,0,4,1,20,involuntary_layoff,1
EMP000033,32,Millennial,Male,Customer Support,Senior,0,4.5,122000,9.6,onsite,1,5,115,0,3,light,41,0,5.4,3,1,71,1,1,1,4,stayed,0
EMP000034,30,Millennial,Female,Product,Mid,0,0.9,111000,-13.3,remote,0,1,106,1,1,light,53,0,3.9,4,0,74,0,4,0,15,stayed,0
EMP000035,35,Millennial,Male,Engineering,Manager,1,3.4,168000,-4.4,remote,1,3,18,1,3,regular,32,0,5.1,2,0,64,0,1,1,6,poor_management,1
EMP000036,39,Millennial,Male,Engineering,Junior,0,1.1,86000,-27.1,onsite,1,5,13,1,1,regular,52,1,4.7,4,1,90,0,4,0,19,stayed,0
EMP000037,33,Millennial,Male,Product,Junior,0,2.3,60000,-0.4,hybrid,0,3,6,1,3,regular,32,0,6.3,4,2,25,0,2,1,12,career_growth,1
EMP000038,41,Millennial,Male,Operations,Mid,0,0.8,85000,10.2,remote,0,0,17,1,4,light,32,0,5.7,4,2,79,0,4,0,13,stayed,0
EMP000039,39,Millennial,Male,Sales,Mid,0,8.4,109000,6.0,hybrid,1,3,52,1,2,regular,44,0,3.5,4,2,98,0,1,0,9,stayed,0
EMP000040,36,Millennial,Male,Operations,Junior,0,0.4,53000,3.3,hybrid,0,2,17,0,2,light,46,0,6.2,4,2,83,0,3,0,8,stayed,0
EMP000041,32,Millennial,Female,Data,Junior,0,5.9,68000,1.3,onsite,0,4,14,1,5,regular,38,1,4.0,1,1,61,0,1,0,24,stayed,0
EMP000042,25,Gen Z,Female,Engineering,Junior,0,1.8,44000,-4.0,remote,1,3,57,0,2,regular,36,1,5.1,5,1,83,2,4,0,17,stayed,0
EMP000043,24,Gen Z,Male,Engineering,Mid,0,10.6,101000,9.1,remote,0,0,53,0,3,regular,49,0,5.9,2,1,70,1,1,0,21,stayed,0
EMP000044,41,Millennial,Female,Engineering,Lead,1,2.3,176000,2.1,hybrid,1,4,26,0,5,light,62,0,3.8,1,4,55,1,5,1,22,stayed,0
EMP000045,45,Gen X,Female,Sales,Mid,0,4.5,87000,3.2,hybrid,1,3,42,1,2,light,43,0,3.7,3,1,56,0,2,1,11,rto_inflexibility,1
EMP000046,20,Gen Z,Male,Sales,Senior,0,1.9,133000,9.4,onsite,0,5,67,1,2,none,48,0,4.8,1,1,51,1,5,1,8,other,1
EMP000047,52,Gen X,Female,Data,Mid,0,7.9,110000,-9.2,onsite,1,5,22,0,3,light,57,1,6.1,3,2,75,0,2,1,13,better_offer_pay,1
EMP000048,31,Millennial,Male,Sales,Mid,0,1.2,98000,-16.0,hybrid,1,3,36,0,3,power,38,1,2.9,2,0,83,0,4,0,8,stayed,0
EMP000049,28,Millennial,Female,Engineering,Junior,0,1.6,55000,21.8,hybrid,0,3,72,1,3,power,39,0,4.7,5,2,100,1,1,1,4,stayed,0
EMP000050,32,Millennial,Female,Operations,Mid,0,2.0,76000,-6.1,onsite,1,5,42,1,3,light,43,0,6.6,5,1,73,0,2,1,18,rto_inflexibility,1
EMP000051,20,Gen Z,Female,Customer Support,Mid,0,1.9,81000,-5.1,remote,0,1,48,1,3,power,50,0,5.7,2,0,57,1,2,0,8,stayed,0
EMP000052,23,Gen Z,Female,Marketing,Junior,0,1.1,49000,12.9,hybrid,0,3,33,1,4,none,30,0,5.2,1,2,55,0,1,1,4,stayed,0
EMP000053,38,Millennial,Female,Engineering,Junior,0,7.7,57000,3.6,hybrid,1,4,73,1,5,regular,34,0,4.5,4,0,48,1,3,0,12,stayed,0
EMP000054,30,Millennial,Female,Operations,Junior,0,3.6,60000,-1.2,hybrid,0,3,38,1,5,light,41,0,8.0,4,1,89,1,1,0,3,stayed,0
EMP000055,39,Millennial,Male,Data,Senior,0,5.9,134000,-5.0,onsite,0,5,62,1,2,light,40,1,3.2,1,4,71,2,3,0,6,stayed,0
EMP000056,33,Millennial,Male,Operations,Junior,0,2.1,48000,-8.0,hybrid,0,3,23,1,3,regular,44,1,1.2,2,1,69,1,5,0,19,stayed,0
EMP000057,44,Gen X,Female,Engineering,Junior,0,3.3,62000,2.3,hybrid,0,2,43,0,1,light,50,1,7.1,1,2,53,0,5,0,21,stayed,0
EMP000058,23,Gen Z,Male,Data,Junior,0,0.4,47000,9.0,hybrid,1,4,1,1,5,power,63,0,5.7,3,2,54,1,4,0,18,stayed,0
EMP000059,33,Millennial,Male,Operations,Manager,1,2.0,200000,-7.8,remote,1,2,40,1,3,none,40,0,4.7,5,0,97,0,3,0,22,stayed,0
EMP000060,25,Gen Z,Female,Sales,Junior,0,4.3,54000,-15.5,onsite,0,4,34,1,5,light,40,0,1.5,1,0,33,0,5,0,4,stayed,0
EMP000061,31,Millennial,Female,Finance,Mid,0,2.4,90000,-13.1,hybrid,0,2,73,1,5,light,41,0,4.6,1,2,34,1,5,0,13,better_offer_pay,1
EMP000062,39,Millennial,Female,Product,Junior,0,3.4,66000,-8.3,hybrid,0,2,18,1,2,none,54,0,5.7,1,2,29,0,4,0,16,poor_management,1
EMP000063,41,Millennial,Female,Sales,Senior,0,0.8,139000,2.6,hybrid,1,4,42,1,5,power,45,0,4.4,3,1,64,0,1,0,20,stayed,0
EMP000064,33,Millennial,Female,Data,Mid,0,3.7,64000,4.2,remote,1,2,18,1,3,none,40,1,6.5,2,4,58,0,5,0,21,career_growth,1
EMP000065,37,Millennial,Male,Customer Support,Mid,0,2.1,89000,-1.8,hybrid,0,3,40,0,1,none,49,0,5.3,2,0,51,0,1,0,4,stayed,0
EMP000066,20,Gen Z,Male,Customer Support,Junior,0,0.3,63000,-5.1,remote,0,1,70,1,2,light,41,0,5.6,4,2,55,1,5,1,3,stayed,0
EMP000067,27,Gen Z,Male,Customer Support,Junior,0,3.6,63000,-9.4,onsite,1,5,45,0,2,power,33,0,2.5,3,0,57,0,2,0,4,stayed,0
EMP000068,41,Millennial,Female,Operations,Manager,1,7.3,172000,14.2,remote,1,3,61,0,2,none,39,1,10.0,5,0,59,1,3,1,23,stayed,0
EMP000069,41,Millennial,Male,Finance,Mid,0,8.6,98000,-18.2,onsite,0,4,38,1,4,light,42,0,6.8,3,0,97,1,1,0,20,stayed,0
EMP000070,22,Gen Z,Female,HR,Mid,0,1.3,79000,0.5,hybrid,0,3,43,1,2,regular,44,1,3.8,4,0,72,1,1,0,20,stayed,0
EMP000071,37,Millennial,Female,HR,Junior,0,4.2,63000,-8.8,hybrid,0,3,7,0,3,regular,54,0,3.9,4,4,95,1,4,1,17,stayed,0
EMP000072,20,Gen Z,Female,Engineering,Mid,0,4.2,99000,-13.0,hybrid,1,4,21,1,1,power,30,0,3.1,2,0,73,1,2,1,9,poor_management,1
EMP000073,45,Gen X,Male,Engineering,Mid,0,7.2,89000,-13.6,hybrid,0,3,13,1,4,light,45,0,6.6,1,2,34,1,3,0,17,stayed,0
EMP000074,25,Gen Z,Female,Finance,Lead,1,5.4,151000,-15.5,onsite,1,5,38,1,2,regular,49,0,7.5,2,2,67,0,4,0,11,poor_management,1
EMP000075,28,Millennial,Female,Sales,Junior,0,1.5,61000,-5.9,remote,0,1,69,0,3,power,49,0,3.0,1,0,64,0,1,0,7,stayed,0
EMP000076,40,Millennial,Female,Customer Support,Senior,0,2.4,132000,-6.1,remote,0,0,7,1,3,regular,42,0,6.3,5,0,66,0,2,0,8,stayed,0
EMP000077,38,Millennial,Male,Sales,Junior,0,8.8,56000,0.5,remote,1,1,32,0,1,light,38,0,5.8,4,1,85,1,2,0,10,stayed,0
EMP000078,25,Gen Z,Female,Product,Mid,0,3.7,93000,10.7,onsite,1,5,13,1,1,power,50,1,3.9,1,0,46,1,3,0,4,stayed,0
EMP000079,31,Millennial,Female,Finance,Senior,0,1.2,147000,2.4,onsite,1,5,23,1,2,regular,46,0,5.6,3,0,44,0,3,1,12,rto_inflexibility,1
EMP000080,47,Gen X,Male,HR,Mid,0,1.3,97000,-8.5,hybrid,0,3,13,1,3,light,38,0,5.6,1,1,45,0,2,0,22,stayed,0
EMP000081,35,Millennial,Male,Data,Mid,0,7.1,101000,-14.1,hybrid,1,3,63,0,2,regular,48,0,6.2,5,0,96,0,1,0,6,stayed,0
EMP000082,20,Gen Z,Male,Engineering,Junior,0,3.2,47000,-4.4,hybrid,1,5,31,0,1,light,45,0,9.3,5,0,74,1,5,1,18,stayed,0
EMP000083,53,Gen X,Other,Operations,Junior,0,3.4,66000,7.6,remote,0,0,40,0,4,power,34,0,4.1,3,0,77,0,4,0,23,stayed,0
EMP000084,37,Millennial,Female,Product,Manager,1,6.1,166000,-14.3,onsite,1,5,25,1,1,light,45,0,5.7,2,2,48,0,3,1,14,stayed,0
EMP000085,27,Gen Z,Male,HR,Mid,0,4.9,95000,10.0,hybrid,0,2,40,0,1,none,55,0,7.6,5,2,67,0,3,0,5,stayed,0
EMP000086,20,Gen Z,Female,Sales,Mid,0,1.5,95000,-5.8,hybrid,1,5,83,1,2,regular,41,0,6.1,2,1,67,0,1,1,9,poor_management,1
EMP000087,21,Gen Z,Female,Engineering,Mid,0,1.9,99000,-4.3,hybrid,1,4,48,1,4,regular,52,0,6.4,2,2,80,1,2,0,23,rto_inflexibility,1
EMP000088,24,Gen Z,Male,Operations,Lead,1,4.8,125000,1.3,hybrid,1,4,94,0,1,regular,49,0,4.1,3,1,74,0,1,0,24,stayed,0
EMP000089,31,Millennial,Male,Sales,Mid,0,1.7,131000,-10.2,onsite,0,5,73,0,3,none,49,1,4.0,5,1,78,0,5,0,6,stayed,0
EMP000090,22,Gen Z,Female,Engineering,Mid,0,1.7,106000,15.9,hybrid,0,3,67,1,1,regular,49,0,5.3,3,2,60,1,5,1,20,stayed,0
EMP000091,32,Millennial,Male,Engineering,Manager,1,4.1,166000,-9.0,remote,0,1,52,0,3,light,40,0,4.9,5,0,57,0,3,0,24,stayed,0
EMP000092,32,Millennial,Female,Product,Mid,0,2.8,89000,-13.4,onsite,0,4,27,1,2,none,40,1,3.0,5,2,65,2,5,0,12,stayed,0
EMP000093,56,Gen X,Male,Product,Mid,0,4.1,112000,15.2,onsite,0,5,7,1,4,regular,38,0,4.1,1,1,59,1,1,0,6,stayed,0
EMP000094,44,Gen X,Female,Product,Senior,0,2.8,127000,-9.4,remote,0,1,8,0,4,power,30,0,4.1,4,2,68,1,1,0,15,stayed,0
EMP000095,34,Millennial,Female,Data,Mid,0,1.8,79000,-2.2,remote,0,1,28,1,4,light,43,0,6.5,4,2,70,1,5,0,21,stayed,0
EMP000096,27,Gen Z,Female,HR,Senior,0,4.3,147000,9.7,onsite,1,5,15,1,5,light,35,1,3.4,1,2,60,0,4,1,10,poor_management,1
EMP000097,20,Gen Z,Male,Operations,Senior,0,2.5,129000,2.3,remote,1,2,45,1,1,none,48,0,5.3,1,0,65,0,3,1,5,rto_inflexibility,1
EMP000098,20,Gen Z,Female,Data,Lead,1,2.2,172000,-24.4,hybrid,0,2,14,1,3,regular,41,1,4.2,1,0,65,1,1,0,15,stayed,0
EMP000099,35,Millennial,Female,Product,Mid,0,4.2,96000,11.7,hybrid,0,2,76,1,3,light,44,0,1.4,2,0,63,1,3,1,15,stayed,0
EMP000100,46,Gen X,Male,Engineering,Lead,1,1.2,160000,6.3,remote,0,0,3,1,1,light,50,0,8.9,3,2,35,1,4,0,17,stayed,0
EMP000101,44,Gen X,Male,Operations,Manager,1,4.5,196000,12.4,remote,1,1,47,1,3,power,31,0,3.9,1,1,41,2,2,0,14,stayed,0
EMP000102,25,Gen Z,Male,Sales,Junior,0,1.3,55000,-6.4,remote,0,1,11,0,4,regular,43,0,2.5,3,1,46,0,1,0,6,career_growth,1
EMP000103,31,Millennial,Female,Operations,Lead,1,3.8,121000,-4.0,onsite,0,4,91,0,1,light,53,0,4.4,1,2,56,0,1,1,12,career_growth,1
EMP000104,36,Millennial,Male,Product,Senior,0,2.4,172000,4.1,hybrid,0,3,19,1,1,regular,39,1,4.7,1,1,30,1,5,0,23,relocation,1
EMP000105,22,Gen Z,Female,Sales,Mid,0,8.0,72000,15.0,onsite,0,4,61,1,2,light,45,0,1.0,3,2,71,0,1,0,21,stayed,0
EMP000106,40,Millennial,Male,Marketing,Mid,0,3.7,97000,4.7,hybrid,0,3,16,1,5,power,48,1,4.7,4,0,57,0,1,1,7,stayed,0
EMP000107,37,Millennial,Female,Sales,Director,1,1.7,242000,-9.5,remote,0,1,29,0,5,power,52,0,5.4,3,0,79,1,1,0,24,stayed,0
EMP000108,42,Millennial,Male,Sales,Senior,0,5.0,90000,-14.5,hybrid,1,4,70,1,2,regular,55,0,1.9,4,0,67,0,1,0,8,stayed,0
EMP000109,43,Millennial,Female,Sales,Junior,0,2.7,55000,-8.2,hybrid,0,3,49,0,1,light,44,0,4.5,2,1,52,1,4,0,14,stayed,0
EMP000110,42,Millennial,Male,Sales,Manager,1,6.4,177000,-3.3,onsite,0,5,39,1,1,light,37,0,2.0,1,1,57,1,1,0,6,career_growth,1
EMP000111,26,Gen Z,Male,Engineering,Junior,0,3.6,63000,-7.2,hybrid,1,3,22,0,2,none,38,0,2.5,1,0,63,0,1,0,18,stayed,0
EMP000112,20,Gen Z,Male,Marketing,Junior,0,2.6,38000,11.7,remote,0,1,13,1,4,light,45,0,3.2,4,4,76,1,1,0,8,stayed,0
EMP000113,38,Millennial,Male,Data,Senior,0,4.6,139000,-2.8,hybrid,1,4,76,1,3,light,44,1,5.6,5,0,68,1,2,1,3,stayed,0
EMP000114,24,Gen Z,Female,Customer Support,Senior,0,2.8,136000,-1.6,hybrid,1,5,11,1,3,power,56,1,4.5,5,0,48,1,3,0,11,stayed,0
EMP000115,25,Gen Z,Female,Marketing,Senior,0,1.6,131000,-0.8,hybrid,1,4,59,1,1,regular,41,0,2.7,5,1,70,1,5,0,7,stayed,0
EMP000116,37,Millennial,Male,Product,Senior,0,1.5,142000,-17.3,hybrid,0,3,38,1,2,regular,35,0,3.2,1,2,56,0,1,0,16,stayed,0
EMP000117,31,Millennial,Male,Customer Support,Lead,1,9.7,175000,6.7,remote,1,3,11,1,1,none,38,0,1.3,2,1,60,0,3,0,21,stayed,0
EMP000118,38,Millennial,Male,Product,Senior,0,11.5,124000,-9.1,onsite,0,5,24,1,4,light,38,0,5.0,4,1,59,0,3,0,23,better_offer_pay,1
EMP000119,51,Gen X,Male,Operations,Junior,0,5.1,45000,-0.8,hybrid,0,3,123,0,2,light,44,0,10.0,3,1,81,1,5,0,11,stayed,0
EMP000120,32,Millennial,Female,Engineering,Mid,0,3.9,95000,-2.1,remote,1,1,38,0,4,regular,43,1,3.0,2,2,62,1,1,0,22,stayed,0
EMP000121,25,Gen Z,Female,Engineering,Senior,0,2.7,100000,-2.8,remote,0,1,23,1,5,light,30,0,7.8,5,1,61,0,2,0,14,stayed,0
EMP000122,35,Millennial,Male,Marketing,Junior,0,3.3,65000,25.1,hybrid,1,3,15,1,3,power,35,0,4.7,3,4,75,2,1,0,20,stayed,0
EMP000123,35,Millennial,Female,Data,Senior,0,2.2,121000,-13.0,remote,0,1,46,1,3,regular,40,0,7.6,3,0,45,2,3,0,6,stayed,0
EMP000124,50,Gen X,Female,Sales,Senior,0,2.9,115000,-11.8,hybrid,0,2,23,1,1,light,42,0,2.9,4,1,41,0,1,0,18,stayed,0
EMP000125,41,Millennial,Male,Sales,Mid,0,1.8,91000,-4.4,onsite,0,4,7,1,4,light,47,0,8.1,2,1,80,1,4,0,5,stayed,0
EMP000126,34,Millennial,Male,Engineering,Mid,0,4.9,82000,0.1,hybrid,0,2,17,1,3,light,38,0,5.3,5,4,85,0,2,0,3,stayed,0
EMP000127,28,Millennial,Female,Engineering,Senior,0,4.9,123000,-4.3,hybrid,1,4,7,1,2,light,40,0,2.9,1,0,73,0,1,0,22,career_growth,1
EMP000128,46,Gen X,Female,Data,Mid,0,0.9,73000,-11.3,hybrid,0,2,37,1,2,regular,44,0,5.0,2,0,41,0,3,0,12,stayed,0
EMP000129,27,Gen Z,Male,Product,Senior,0,1.3,158000,4.5,hybrid,1,5,31,1,3,power,49,0,4.6,3,4,57,1,5,0,17,stayed,0
EMP000130,21,Gen Z,Male,Engineering,Mid,0,2.4,88000,4.9,hybrid,0,2,23,1,4,none,34,0,5.6,4,4,64,0,1,0,4,stayed,0
EMP000131,20,Gen Z,Male,Operations,Mid,0,5.7,88000,15.2,onsite,0,5,3,1,1,none,49,0,3.4,5,2,66,0,2,0,24,stayed,0
EMP000132,42,Millennial,Male,HR,Senior,0,3.8,91000,-9.7,hybrid,1,4,16,1,3,light,43,1,6.2,2,0,54,0,5,1,6,stayed,0
EMP000133,33,Millennial,Female,Engineering,Senior,0,12.9,130000,4.5,hybrid,1,3,8,1,5,none,38,0,2.8,5,0,90,1,5,1,5,stayed,0
EMP000134,39,Millennial,Female,Sales,Mid,0,2.2,120000,-15.8,onsite,0,4,14,1,2,regular,38,0,1.0,4,2,63,0,2,1,24,stayed,0
EMP000135,27,Gen Z,Male,Marketing,Mid,0,9.1,90000,1.9,hybrid,0,2,6,0,1,power,48,0,3.7,1,0,55,1,4,0,11,stayed,0
EMP000136,24,Gen Z,Male,Operations,Junior,0,8.5,65000,-11.5,remote,1,1,48,1,5,light,46,0,5.2,1,2,32,0,4,0,21,rto_inflexibility,1
EMP000137,29,Millennial,Male,Product,Junior,0,8.5,62000,-15.3,onsite,0,5,17,1,5,none,54,0,7.4,2,1,47,0,5,0,6,stayed,0
EMP000138,31,Millennial,Female,Customer Support,Mid,0,1.2,123000,-12.7,remote,0,1,29,1,5,none,46,0,3.2,1,0,73,0,1,0,5,stayed,0
EMP000139,23,Gen Z,Female,Engineering,Mid,0,2.8,104000,-15.1,onsite,1,5,6,1,1,none,49,1,5.0,1,2,74,1,2,0,7,rto_inflexibility,1
EMP000140,47,Gen X,Male,Marketing,Lead,1,2.8,171000,-7.0,hybrid,1,3,38,1,5,regular,48,0,8.3,3,0,59,0,2,1,21,stayed,0
EMP000141,44,Gen X,Male,Engineering,Manager,1,4.2,195000,0.3,hybrid,0,3,16,0,2,none,39,0,4.7,5,2,94,1,5,1,8,stayed,0
EMP000142,58,Gen X,Other,HR,Junior,0,3.6,52000,9.3,onsite,0,4,40,1,5,regular,43,1,4.0,4,0,67,2,2,1,14,stayed,0
EMP000143,34,Millennial,Female,Engineering,Senior,0,1.7,136000,-19.0,hybrid,1,4,20,1,3,regular,37,0,4.4,4,0,82,0,2,1,16,stayed,0
EMP000144,38,Millennial,Male,Engineering,Manager,1,4.7,167000,-2.0,hybrid,0,3,26,1,1,light,46,0,5.0,4,0,85,1,2,1,5,stayed,0
EMP000145,42,Millennial,Female,Product,Lead,1,7.3,183000,-5.6,onsite,0,5,38,1,1,regular,48,0,7.7,1,2,54,0,1,0,16,burnout,1
EMP000146,36,Millennial,Male,Marketing,Senior,0,0.4,126000,-3.2,onsite,1,5,47,1,5,regular,46,0,1.0,1,2,60,0,4,0,14,stayed,0
EMP000147,43,Millennial,Female,Engineering,Lead,1,11.6,150000,4.9,hybrid,1,4,25,0,3,none,37,1,5.3,1,0,86,1,5,0,15,stayed,0
EMP000148,33,Millennial,Male,Sales,Lead,1,3.5,133000,2.4,onsite,0,5,17,0,4,none,45,0,6.5,4,1,70,1,3,0,17,stayed,0
EMP000149,24,Gen Z,Female,Sales,Junior,0,2.7,47000,-11.4,onsite,0,4,41,1,4,regular,36,0,4.4,4,0,73,2,1,0,6,stayed,0
EMP000150,32,Millennial,Male,Engineering,Manager,1,0.9,144000,-1.0,remote,0,0,28,1,2,none,40,0,2.5,3,2,61,0,3,0,5,stayed,0
EMP000151,38,Millennial,Female,Engineering,Mid,0,2.4,93000,11.5,hybrid,0,3,37,1,4,none,49,0,3.5,1,0,30,1,2,1,17,stayed,0
EMP000152,37,Millennial,Female,Engineering,Senior,0,7.3,122000,-7.9,onsite,1,5,3,0,3,regular,36,0,7.6,1,0,59,1,4,1,9,stayed,0
EMP000153,20,Gen Z,Male,HR,Mid,0,1.9,73000,-5.1,remote,1,3,7,0,1,none,38,0,7.5,5,2,74,0,4,0,9,stayed,0
EMP000154,26,Gen Z,Female,Data,Junior,0,1.1,69000,-12.2,hybrid,1,3,12,1,4,regular,39,0,9.9,4,1,82,1,4,0,10,stayed,0
EMP000155,37,Millennial,Male,Sales,Mid,0,2.5,93000,13.4,remote,0,1,93,1,5,none,30,0,6.2,2,2,57,0,3,0,9,stayed,0
EMP000156,30,Millennial,Male,Product,Mid,0,4.0,75000,9.6,onsite,0,4,41,1,2,regular,47,0,5.9,4,1,82,2,2,0,8,stayed,0
EMP000157,34,Millennial,Female,Data,Junior,0,1.2,64000,-1.1,onsite,0,4,7,1,5,none,46,1,7.6,3,4,47,1,5,0,15,burnout,1
EMP000158,40,Millennial,Male,Finance,Junior,0,3.5,62000,1.1,remote,0,0,68,0,2,none,33,0,6.7,1,4,49,0,3,0,24,stayed,0
EMP000159,22,Gen Z,Male,Marketing,Mid,0,4.6,78000,2.5,remote,0,1,6,0,2,power,43,1,4.1,1,2,62,0,4,0,16,stayed,0
EMP000160,34,Millennial,Male,Data,Junior,0,4.0,61000,4.9,hybrid,0,3,46,1,5,light,51,0,5.4,4,4,68,0,5,1,21,stayed,0
EMP000161,31,Millennial,Other,Engineering,Mid,0,4.1,90000,5.8,remote,1,1,41,0,1,power,39,0,3.3,5,1,69,1,5,0,10,stayed,0
EMP000162,28,Millennial,Male,Customer Support,Mid,0,1.5,87000,-11.3,hybrid,0,3,54,0,1,regular,39,0,5.0,1,0,50,1,1,0,3,poor_management,1
EMP000163,37,Millennial,Female,Customer Support,Manager,1,4.2,214000,4.8,onsite,0,5,25,1,2,none,46,0,3.9,2,2,54,0,4,0,15,career_growth,1
