Clothing_ID,Clothing_Name,Native_Name,Country,Region,Ethnic_Group,Garment_Type,Clothing_Category,Historical_Period,Primary_Fabric,Secondary_Fabric,Weaving_Technique,Embroidery_Type,Dominant_Colors,Occasion_Used,Religious_Significance,Traditional_Accessories,Climate_Adaptation,Cultural_Symbolism,Modern_Fashion_Influence,Endangered_Tradition_Status,Visual_Vibrancy_Score,Historical_Depth_Score
TG-00036,Ao Tu Than,Ao Tu Than,Vietnam,Southeast Asia,Kinh,Dress,Headwear,Victorian,Georgette,Silk thread,Ikat,None,,National Day,Aztec solar deity,Non La conical hat,Cold Continental,Vietnamese national identity and feminine grace,None,Endangered,3,1
TG-00037,Ao Ba Ba,,Vietnam,Southeast Asia,Kinh,Dress,N/A,Mughal Period,Georgette,Cotton lining,Ndop resist,Not Documented,"Emerald, Pastel Pink",Tet New Year,Yoruba Orisha devotion,Non La conical hat,Subtropical Monsoon,Vietnamese national identity and feminine grace,High,Endangered,9,9
TG-00038,Khan Dong Tien,Khan Dong Tien,Vietnam,Southeast Asia,Kinh,Armor Suit,Ceremonial,Mughal Period,Silk,Silk thread,Sprang,Cutwork,"White, Sky Blue, Pastel Pink",National Day,,,Tropical Humid,Vietnamese national identity and feminine grace,Low,Extinct,4,5
TG-00039,Ao Dai,Ao Dai,Vietnam,Southeast Asia,Kinh,Bridal Ensemble,Festival,Medieval 1000-1400 CE,Georgette,Silk,Resist dyeing,Silk ribbon embroidery,"Sky Blue, White, Pastel Pink",Daily Office,Yoruba Orisha devotion,Silk scarf,Temperate Maritime,Vietnamese national identity and feminine grace,None,Endangered,7,5
TG-00040,Batik Sarong,Unknown,Indonesia,Southeast Asia,Javanese,Parka,Ceremonial,Medieval 1000-1400 CE,Lurik,None,Supplementary weft,,"Deep Indigo, Cream",Batik Day,None,Keris dagger,Tropical Highland,Javanese cosmic order and court hierarchy,High,Extinct,3,2
TG-00041,Kebaya Bali,Kebaya Bali,Indonesia,Southeast Asia,Balinese,Tunic,Daily,Hindu Bali Kingdom,Songket brocade,None,Jacquard loom,Tibetan couching,"White, Crimson",Galungan,Unknown,Flower offering,Tropical Highland,Hindu-Balinese cosmic balance and temple devotion,None,Active,3,7
TG-00042,Udeng Headcloth,Not Documented,Indonesia,Southeast Asia,Balinese,Apron,Daily,Victorian,Endek silk ikat,Cotton,Floor loom,Kasuti embroidery,"White, Saffron Yellow",Galungan,Buddhist merit and dharma symbolism,,High Altitude Cold,Hindu-Balinese cosmic balance and temple devotion,Low,Active,9,5
TG-00043,Sabuk Sash,N/A,Indonesia,Southeast Asia,Balinese,Jacket,Court,Iron Age,Songket brocade,Cotton lining,Tie-dye,Satin stitch,"Black, Crimson",Cremation,Yoruba Orisha devotion,Kris,Hot Semi-Arid,Hindu-Balinese cosmic balance and temple devotion,None,Endangered,3,8
TG-00044,Endek Sarong,Unknown,Indonesia,Southeast Asia,Balinese,Dress,Court,Colonial Era 1500-1900,Batik,Cotton lining,,Whitework,"Black, Saffron Yellow, White",Cremation,Maya Ixchel moon goddess,Fragipani crown,High Altitude Cold,Hindu-Balinese cosmic balance and temple devotion,Medium,Active,6,9
TG-00045,Baro't Saya,Not Documented,Philippines,Southeast Asia,Tagalog,Gown,Festival,Meiji Period,Pina fiber,Pina fiber,Backstrap loom,Mola reverse applique,"Ivory, Blush Pink",Fiesta,None,Peineta comb,Subtropical Monsoon,Filipino national identity and colonial-indigenous fusion,None,Endangered,4,1
TG-00046,Barong Tagalog,Not Documented,Philippines,Southeast Asia,Tagalog,Apron,Festival,Timurid Era,Pina fiber,Hablon,Tapestry weave,Beadwork,"Light Blue, Ivory",Independence Day,Confucian social hierarchy,Gold belt buckle,Subtropical Monsoon,Filipino national identity and colonial-indigenous fusion,Low,Active,8,6
TG-00047,Terno,Terno,Philippines,Southeast Asia,Tagalog,Parka,Tribal,19th Century,Hablon,None,Batik wax resist,Kantha running stitch,"Blush Pink, Pearl White, Ivory",Independence Day,Taoist cosmic balance,Fabric fan,Arctic Tundra,Filipino national identity and colonial-indigenous fusion,None,Not Documented,3,7
TG-00048,Taikpon Jacket,,Myanmar,Southeast Asia,Bamar,Hat,Court,Not Documented,Luntaya ikat,None,Tie-dye,Phulkari bagh stitch,"Fuchsia Pink, Gold",Wedding,Taoist cosmic balance,Thayet thway flower,Arctic Tundra,Buddhist merit and Burmese royal heritage,High,Unknown,5,10
TG-00049,Gaung Baung Hat,,Myanmar,Southeast Asia,N/A,Parka,Ceremonial,Viking Age,Cotton,Luntaya ikat,,Smocking,"White, Gold, Forest Green",Thingyan Water Festival,Yoruba Orisha devotion,Silk parasol,Tropical Dry Savanna,Buddhist merit and Burmese royal heritage,None,Extinct,10,6
TG-00050,Longyi Paso,Longyi Paso,Myanmar,Southeast Asia,Bamar,Crown,Headwear,Victorian,Acheik,Cotton lining,Twill,Needlepoint,"Forest Green, Gold",Thingyan Water Festival,Andean Pachamama earth spirit,N/A,Tropical Dry Savanna,Buddhist merit and Burmese royal heritage,,Active,6,2
TG-00051,Htamein,Htamein,Myanmar,Southeast Asia,Bamar,Parka,Ritual,Medieval 1000-1400 CE,Silk,Cotton,Supplementary weft,Satin stitch,"Fuchsia Pink, Forest Green, Gold",Wedding,Zoroastrian fire and purity,Jasmine garland,Tropical Dry Savanna,Buddhist merit and Burmese royal heritage,Low,Active,6,3
TG-00052,Sbai Shawl,Sbai Shawl,Cambodia,Southeast Asia,Khmer,Ceremonial Robe,Festival,Classical Antiquity,Khmer silk,Silk thread,Resist dyeing,Whitework,"Gold, Royal Blue",Khmer New Year,Maasai Engai sky god,Gold headdress,Mountain Desert,Angkor imperial glory and Khmer Buddhist cosmology,None,Active,7,9
TG-00053,Sampot Chang Kben,Sampot Chang Kben,Cambodia,Southeast Asia,Khmer,Headdress,Ritual,Enlightenment Era,Brocade,Khmer silk,Ikat,Beadwork,"Jade, Crimson, Gold",Wedding,Islamic modesty and geometric pattern,Arm bands,Tropical Humid,Angkor imperial glory and Khmer Buddhist cosmology,,Active,10,9
TG-00054,Sampot Hol,Sampot Hol,Cambodia,Southeast Asia,Khmer,Shawl,Footwear,Classical Antiquity,Cotton,Cotton lining,Shibori,Needlepoint,"Crimson, Gold",Khmer New Year,Shinto nature kami,Lotus blossom,Continental Steppe,Angkor imperial glory and Khmer Buddhist cosmology,Medium,Not Documented,10,10
TG-00055,Pahkaoma Cloth,Pahkaoma Cloth,Laos,Southeast Asia,Lao Loum,Veil,Festival,Meiji Period,Cotton,Silk thread,Resist dyeing,None,"Cream, Forest Green",Wedding,,Not Documented,Tropical Highland,Lao Buddhist identity and Mekong valley heritage,High,Extinct,1,1
TG-00056,Sinh Skirt,Sinh Skirt,Laos,Southeast Asia,Lao Loum,Ritual Costume,Footwear,Post-Colonial Modern,Brocade,Silk,Block printing,Smocking,"Forest Green, Cream",Wedding,Islamic modesty and geometric pattern,Silver belt,Tropical Humid,Lao Buddhist identity and Mekong valley heritage,Medium,Active,2,8
TG-00057,Pha Biang,Pha Biang,Laos,Southeast Asia,Lao Loum,Hat,,Qing Dynasty,Brocade,None,,Whitework,"Burgundy, Cream",Boat Racing,None,Wrist blessing strings,Mediterranean,Lao Buddhist identity and Mekong valley heritage,None,Endangered,7,4
TG-00058,Suea Pat Jacket,Suea Pat Jacket,Laos,Southeast Asia,Lao Loum,Coat,Accessory,Silk Road Era,Silk,None,Dovetail tapestry,Kasuti embroidery,"Forest Green, Burgundy, Gold",Temple,Yoruba Orisha devotion,Wrist blessing strings,Arctic Tundra,Lao Buddhist identity and Mekong valley heritage,Low,Endangered,2,6
TG-00059,Kain Songket,Unknown,Malaysia,Southeast Asia,Malay,Shirt,Warrior,Bronze Age,Voile,Songket silk,Brocade,Smocking,"Gold, Emerald, Royal Blue",Royal Installation,Maasai Engai sky god,Songket sash,Equatorial Rainforest,Malay Islamic identity and sultanate prestige,Very High,Active,10,4
TG-00060,Fes Hat,Fes Hat,Turkey,Middle East,Ottoman,Kaftan,Footwear,Contemporary,Wool,Cotton lining,Dovetail tapestry,Shadow work,"Gold, Emerald",Wedding,Animist spirit world connection,Kohl-rimmed eyes,Cold Alpine,Imperial Ottoman dynastic power and Islamic faith,Medium,Endangered,6,9
TG-00061,Kaftan,Kaftan,Turkey,Middle East,Ottoman,Body Wrap,Festival,Qing Dynasty,Silk brocade,Velvet,Card weaving,Needlepoint,"Gold, Crimson",Imperial Court,Yoruba Orisha devotion,Kohl-rimmed eyes,Arctic Tundra,Imperial Ottoman dynastic power and Islamic faith,Low,Extinct,9,8
TG-00062,Salvar Trousers,,Turkey,Middle East,Ottoman,Sash,Festival,Meiji Period,Wool,Cotton lining,Supplementary weft,Phulkari bagh stitch,"Midnight Blue, Gold",Religious Festival,Shamanic world tree and axis mundi,Kaftan brooch,Hot Desert,Imperial Ottoman dynastic power and Islamic faith,Very High,Active,9,3
TG-00063,Entari Robe,Entari Robe,Turkey,Middle East,Ottoman,Festival Costume,Daily,Timurid Era,Wool,None,Jacquard loom,Beadwork,"Midnight Blue, Crimson",Wedding,Animist spirit world connection,Kohl-rimmed eyes,Mediterranean,Imperial Ottoman dynastic power and Islamic faith,Low,Active,8,5
TG-00064,Ghalamkari Robe,Ghalamkari Robe,Iran,Middle East,Persian,Sarong,,,Velvet,Persian silk,Tapestry weave,Aari hook stitch,"Turquoise, Saffron, Lapis Blue",Wedding,Hindu cosmic order and divine kingship,Gold chain,Cold Continental,Zoroastrian fire symbolism and Persian imperial heritage,Very High,Active,2,4
TG-00065,Kurdish Costume,Not Documented,Iran,Middle East,Persian,Veil,Religious,19th Century,Cotton,Persian silk,Brocade,Beadwork,"Pomegranate Red, Saffron, Turquoise",Daily,Taoist cosmic balance,Qajar jewelry,Arctic Tundra,Zoroastrian fire symbolism and Persian imperial heritage,Low,Reviving,3,3
TG-00066,Bisht Cloak,Bisht Cloak,Saudi Arabia,Middle East,Najdi,Bridal Ensemble,Warrior,Ancient (pre-500 CE),Silk,Gold-trimmed fabric,Tapestry weave,Tibetan couching,"Gold, White, Black",Daily,Shamanic world tree and axis mundi,Misbaah beads,Island Maritime,Islamic modesty and Bedouin tribal dignity,Low,Active,8,6
TG-00067,Abaya,N/A,Saudi Arabia,Middle East,Najdi,Veil,Ritual,Mughal Period,Cotton,Cotton,Supplementary weft,Mirror work shisha,"Gold, White",Eid Prayer,Andean Pachamama earth spirit,Keffiyeh,Hot Desert,Islamic modesty and Bedouin tribal dignity,Medium,Unknown,2,7
TG-00068,Takchita,,Morocco,North Africa,Berber,Veil,Tribal,Viking Age,Silk,Silk thread,Mud cloth bogolanfini,None,"Cobalt Blue, Forest Green",Fantasia,Maya Ixchel moon goddess,Berber tattoo designs,Mediterranean,Amazigh identity and Islamic geometric artistry,None,Reviving,1,5
TG-00069,Djellaba,Not Documented,Morocco,North Africa,Unknown,Apron,Court,Bronze Age,Silk,Cotton,Not Documented,,,Wedding,Maya Ixchel moon goddess,Embroidered belt,Mountain Desert,Amazigh identity and Islamic geometric artistry,Low,Active,5,2
TG-00070,Netela Shawl,N/A,Ethiopia,East Africa,Habesha,,N/A,Bronze Age,Tibeb-trimmed cotton,Silk thread,Floor loom,Kasuti embroidery,"Green, Tilet color border",Church,None,Gold earrings,Mountain Desert,Ethiopian Orthodox faith and Solomonic dynasty heritage,Medium,Extinct,6,1
TG-00071,Gabi Blanket Robe,,Ethiopia,East Africa,Habesha,Hat,N/A,Early 20th Century,Linen,Tibeb-trimmed cotton,Batik wax resist,Whitework,"Gold, Tilet color border, White",Timkat Epiphany,Christian faith and saint veneration,Gold earrings,Tropical Humid,Ethiopian Orthodox faith and Solomonic dynasty heritage,Low,Reviving,9,8
TG-00072,Gele Headwrap,Gele Headwrap,Nigeria,West Africa,Yoruba,Scarf,Royal,Ancient (pre-500 CE),N/A,None,Naalbinding,Drawn thread,"Royal Blue, Gold, Cream",Chieftaincy,Buddhist merit and dharma symbolism,Gele headwrap,High Altitude Cold,Yoruba royalty lineage and communal solidarity,Very High,Endangered,2,10
TG-00073,Isiagu Shirt,Isiagu Shirt,Nigeria,West Africa,Igbo,Jacket,Footwear,19th Century,Hollandaise,Velvet,Inkle loom,Smocking,"White, Green",New Yam Festival,Shamanic world tree and axis mundi,Eagle feather cap,Arctic Tundra,Igbo title rank and ancestral chi spiritual force,Low,Active,6,3
TG-00074,Batakari Smock,Batakari Smock,Ghana,West Africa,Ashanti,Apron,Outerwear,Early 20th Century,Adinkra printed cotton,Silk thread,Supplementary weft,Cross-stitch,"Red, Green",Funeral,None,Gold weight necklace,Tropical Highland,Ashanti royal power and Adinkra philosophical wisdom,Very High,Endangered,8,1
TG-00075,Warrior Ochre Wrap,Warrior Ochre Wrap,Kenya,East Africa,Maasai,Dress,Ritual,Early Medieval 500-1000 CE,Glass bead,Cotton lining,Supplementary weft,Needlepoint,"Green, White",Lion Hunt,None,Ochre body paint,Cold Continental,Moran warrior identity and Maasai age-grade social order,Low,Endangered,3,1
TG-00076,Enkarewa Cape,Enkarewa Cape,Kenya,East Africa,Maasai,Dance Costume,Ritual,Classical Antiquity,Sheepskin,Glass bead,Dovetail tapestry,Beadwork,"White, Red",Lion Hunt,None,Cowhide shield,Cold Continental,Unknown,Medium,Active,8,9
TG-00077,Ibheshu Loincloth,Ibheshu Loincloth,South Africa,Southern Africa,Zulu,Not Documented,Tribal,Classical Antiquity,Cowhide,Cowhide,Jacquard loom,Mola reverse applique,"Black, Crimson",Royal Ceremony,Animist spirit world connection,Isigqizo leg beads,Hot Semi-Arid,Zulu royal lineage age grade and martial prestige,High,Endangered,10,3
TG-00078,Isicwaya Skin Wrap,Isicwaya Skin Wrap,South Africa,Southern Africa,Zulu,Sarong,Tribal,Bronze Age,Grass fiber,None,Jacquard loom,Mola reverse applique,"Black, Crimson, White",Royal Ceremony,Confucian social hierarchy,Isigqizo leg beads,Cold Continental,Zulu royal lineage age grade and martial prestige,N/A,Endangered,7,8
TG-00079,Isidwaba Skirt,Isidwaba Skirt,South Africa,Southern Africa,Zulu,Armor Suit,Bridal,Medieval 1000-1400 CE,Grass fiber,None,Brocade,None,,Wedding Lobola,Andean Pachamama earth spirit,Spear,Continental Steppe,Zulu royal lineage age grade and martial prestige,Medium,Reviving,5,4
TG-00080,Grand Boubou,Grand Boubou,Senegal,West Africa,Wolof,Veil,Innerwear,Early Modern 1400-1700,Wax print,Cotton lining,Card weaving,Phulkari bagh stitch,"Royal Blue, Cobalt",Tabaski Eid,Aztec solar deity,N/A,Tropical Highland,Wolof griot heritage and Sufi brotherhood identity,Medium,Active,6,9
TG-00081,Indigo Bogolanfini Mud Cloth,Indigo Bogolanfini Mud Cloth,Mali,West Africa,Dogon,Cape,Warrior,18th Century,Cowhide,Cotton lining,N/A,Drawn thread,"Indigo, White",Dama Festival,Confucian social hierarchy,Togu na post,Cold Alpine,Dogon cosmology and Nommo ancestor spirit symbolism,Medium,Reviving,1,10
TG-00082,Hunters Shirt,Hunters Shirt,Mali,West Africa,Dogon,Unknown,Bridal,Ottoman Era,Cowhide,Mud-dyed cotton,Ndop resist,N/A,"White, Black, Ochre",Dama Festival,None,Iron bracelet,Tropical Dry Savanna,Dogon cosmology and Nommo ancestor spirit symbolism,High,Active,8,6
TG-00083,Toguna Cloth,Toguna Cloth,Mali,West Africa,Dogon,Vest,Festival,Classical Antiquity,Bark cloth,,Ndop resist,,"White, Indigo",Hogon Initiation,Shamanic world tree and axis mundi,Togu na post,Mountain Desert,Dogon cosmology and Nommo ancestor spirit symbolism,Unknown,Extinct,3,8
TG-00084,Dama Mask Costume,Not Documented,Mali,West Africa,Dogon,Shawl,Bridal,Classical Antiquity,Bark cloth,None,Narrow strip loom,Kantha running stitch,"Ochre, Indigo",Dama Festival,Yoruba Orisha devotion,Carved wooden mask,High Altitude Cold,Dogon cosmology and Nommo ancestor spirit symbolism,Low,Active,9,10
TG-00085,Ndop Royal Cloth,Ndop Royal Cloth,Cameroon,Central Africa,Bamileke,Trousers,Religious,Iron Age,Raffia,Wax print,Supplementary weft,Silk ribbon embroidery,"Blue Indigo, White, Gold",Harvest Dance,Buddhist merit and dharma symbolism,Royal cap,Continental Steppe,Bamileke royal power and ancestor veneration,High,Extinct,6,9
TG-00086,Chiefs Cap,Chiefs Cap,Cameroon,Central Africa,Bamileke,Coat,Footwear,Contemporary,Raffia,Raffia,Knotted pile,None,"Gold, Blue Indigo",Death Anniversary,None,Beaded calabash,Continental Steppe,Bamileke royal power and ancestor veneration,Low,Endangered,3,3
TG-00087,Kaba Ngondo Wrapper,Kaba Ngondo Wrapper,Cameroon,Central Africa,Unknown,Veil,Headwear,Classical Antiquity,Wax print,None,Felt pressing,Shadow work,,Funeral Fon,None,Elephant tusk,Mountain Desert,Bamileke royal power and ancestor veneration,High,Active,6,5
