likes,shares,comments,views,watch_time_sec,caption_length,hashtags,posting_hour,creator_followers,popularity_score
146596,22430,20898,522684,51.03,128,15,7,7663705,100.0
30032,3105,3660,578143,90.06,39,2,8,6961678,29.51
100148,25917,16525,356485,35.38,81,18,18,8214901,100.0
48175,13195,3483,907391,67.13,144,12,14,5398628,34.75
59011,20758,6874,911943,29.56,110,1,10,7935324,44.31
203308,40011,40202,739585,95.5,171,4,15,621186,100.0
20622,6169,3600,132478,105.15,117,3,16,7666081,100.0
3554,749,471,16193,20.21,125,8,10,6668763,100.0
22688,3879,3096,681503,64.97,86,20,22,8186500,22.25
152685,47722,7753,914859,82.76,78,7,23,1516413,100.0
133686,51145,19017,455152,13.86,47,9,0,771700,100.0
81955,12600,6400,340231,19.18,140,13,18,3020953,100.0
10837,3344,862,178340,82.61,132,18,4,3895575,42.79
94308,22180,12734,483650,108.07,124,9,21,9170495,100.0
5207,2463,1028,165749,37.3,113,8,14,5068860,29.52
62660,26826,1616,208994,47.0,96,18,9,4953250,100.0
6783,2255,396,23105,68.78,180,1,19,8333800,100.0
237742,35717,38223,873394,73.63,95,7,20,3189985,100.0
53838,20470,8326,651151,82.34,40,20,3,661501,65.8
77347,2037,5889,324039,17.51,80,10,23,6971085,69.41
12572,4970,2211,184271,45.17,133,8,5,4311342,54.13
238832,58777,38754,958549,90.09,91,3,14,1263413,100.0
33778,4071,4623,147694,81.58,106,17,11,1515130,100.0
103173,14401,3002,829190,45.49,196,8,18,6392647,49.52
168335,32324,22993,862467,57.63,163,17,10,3714025,100.0
19244,7961,3508,679212,37.66,109,3,4,760893,25.03
20631,10274,570,992327,29.71,142,4,12,7610979,17.91
79554,29764,15072,389133,51.46,195,4,13,1661407,100.0
132813,27887,25307,874290,5.86,99,6,14,7460858,84.57
78223,14683,15353,996829,45.35,170,11,1,6679774,46.51
18822,1314,3206,289382,55.66,174,6,20,358418,31.42
12655,1636,374,53135,68.62,22,17,6,9837975,90.56
55680,6913,8686,226541,95.06,157,0,8,2427561,100.0
22733,9122,600,136406,104.24,38,0,11,3991929,100.0
64160,6119,976,617557,89.52,139,3,23,1066426,40.82
69927,13104,8444,499480,55.34,61,19,1,8748599,72.45
45189,21797,761,316382,58.52,107,13,21,1811398,100.0
111370,25319,20086,514184,40.01,42,2,4,4614102,100.0
126753,35325,8671,654744,119.37,140,9,14,8481839,100.0
85562,34106,2336,634936,79.26,146,6,13,7575934,91.35
71026,12506,6636,931330,51.09,29,10,13,5243375,39.13
58534,27935,8132,697516,57.96,28,2,2,7245785,71.37
22899,4410,695,101355,9.08,148,17,10,2050800,94.75
48490,16293,7336,430864,104.43,189,1,9,5242122,83.54
14769,3819,519,368827,58.9,32,11,17,6166751,25.31
27869,8118,4526,120565,101.73,164,19,21,9340643,100.0
5155,1713,722,27629,5.42,74,9,10,5889295,100.0
407,32,54,6502,10.21,194,20,0,1539538,24.69
128197,24913,11981,782454,20.57,84,10,18,1425442,78.15
23396,2038,2935,926351,81.53,74,14,21,7113887,17.78
94766,20180,4457,509353,62.46,93,13,3,4752187,89.64
147061,36537,19866,711263,7.36,106,19,1,129067,100.0
20890,2371,663,214453,32.15,88,3,0,8344841,36.07
105672,7745,11502,783401,29.15,148,11,2,6661848,50.79
203511,45535,19262,903725,11.19,85,18,13,9620150,100.0
91516,19645,2512,424168,4.46,88,5,19,7719245,94.35
183222,34318,16519,872542,14.49,116,18,12,8790732,96.98
10302,1669,733,82567,41.3,48,2,16,1913149,55.96
87860,39879,6425,556479,87.83,170,4,7,1724873,100.0
12942,1229,450,153657,91.58,24,5,20,8290008,36.2
111326,42564,10301,486590,111.05,149,20,20,5422634,100.0
264269,43580,23983,906328,57.33,166,9,8,9922477,100.0
6611,306,628,59000,6.44,99,9,2,1515023,36.22
117569,23325,13892,644983,114.6,194,1,14,9590907,100.0
44153,13530,4537,683601,115.01,120,3,10,1414908,49.19
104443,3047,14933,529157,118.94,139,16,19,2663419,78.29
45086,6700,3819,381674,41.93,158,1,20,5614584,52.88
7309,2071,587,69213,31.74,173,19,4,5592986,60.58
15314,1214,1121,85561,116.19,183,12,4,9983235,71.43
209644,33898,16447,743366,95.42,37,16,2,7103680,100.0
61290,11502,2460,533288,27.27,129,6,7,2308063,50.74
5263,2230,130,162571,92.96,194,16,1,5650068,30.09
213433,15839,16746,919064,21.15,182,19,5,7343041,79.46
5929,2024,304,45914,54.42,77,14,7,8959320,80.32
25024,10165,2413,250886,100.54,99,18,14,7745804,77.73
74005,14587,7981,806914,116.02,56,19,4,4194457,55.44
10740,4707,1215,54814,14.11,137,3,9,1407291,100.0
45208,10405,4751,800285,100.06,28,7,14,5865164,38.76
17304,624,1780,975770,29.82,25,11,7,473008,8.54
93573,39412,12327,334265,95.38,40,1,9,7926578,100.0
183242,69967,17678,729984,74.61,25,0,8,3618186,100.0
46723,21993,5781,875622,51.94,78,7,9,2044376,45.93
3970,1282,501,50168,9.41,132,19,17,275839,49.81
105681,13585,3487,662752,52.65,162,11,7,9574248,61.6
28101,9481,3009,436902,44.55,139,17,16,8516593,44.18
9238,4045,124,581170,47.65,100,8,23,272599,15.06
89391,15996,13223,374540,76.13,153,10,4,743929,100.0
62205,25418,2434,369512,93.94,123,15,20,3058217,100.0
41791,15080,7898,851016,6.36,56,1,6,703165,35.14
92911,24392,18385,331026,66.08,69,1,20,3206283,100.0
34069,13375,5922,300109,41.17,36,11,13,6711351,86.19
107201,51314,7623,779514,24.04,182,15,11,8712103,100.0
67798,24832,1382,279776,73.09,51,17,9,5389133,100.0
3577,1194,231,107681,73.11,114,5,22,7447646,26.65
51498,18855,9411,368723,74.55,116,8,20,962408,100.0
16123,3370,1693,78786,90.49,45,0,4,7351420,100.0
1705,214,223,36589,44.73,150,1,19,2574365,24.21
100040,19184,9160,712148,11.07,40,16,11,6678003,65.79
65414,8654,1774,329757,88.81,132,16,12,9423404,78.83
10617,1460,977,123581,119.57,78,15,6,2057614,46.88
36647,8483,6605,142421,54.52,27,10,21,5828929,100.0
21454,5914,3836,744107,102.46,187,20,5,6064932,27.83
40033,19724,6383,533569,29.93,131,0,11,9295037,63.94
70211,28350,7903,600176,74.21,27,2,9,6680115,87.93
164260,43954,25458,751859,99.15,23,4,10,1244382,100.0
68473,18043,2055,471932,99.83,146,20,18,3052934,80.5
233675,51871,42666,805177,8.54,36,16,4,5102463,100.0
9841,4605,481,172755,113.8,137,9,2,4204559,51.52
39986,11192,1175,205937,37.73,141,2,16,2829340,100.0
175686,15030,23445,620656,87.03,159,10,18,691225,100.0
225439,11226,42825,865422,92.98,72,20,6,9598969,100.0
82688,2053,14747,436922,66.38,169,9,15,4108469,74.5
206016,43054,19250,843876,83.26,45,14,13,8124485,100.0
33691,10352,2222,487102,86.77,192,11,12,2193991,47.18
93696,26722,6298,797715,57.04,73,14,7,2363634,68.61
2507,1186,434,101614,51.34,45,10,18,5246585,24.94
46065,11707,4853,199155,60.85,83,15,0,1510873,100.0
122954,28776,6386,991248,70.83,17,1,9,8303046,65.75
166610,55079,16121,626643,65.33,32,13,4,4437218,100.0
88559,18384,1224,762947,8.04,148,6,11,9281640,49.32
9482,2437,1460,302720,35.01,164,19,3,2158713,21.43
12606,5036,896,101477,112.8,198,4,6,8541758,92.37
65262,2101,2070,420984,41.3,126,16,14,2498909,43.81
171038,13425,31918,635810,39.59,105,19,23,5020419,100.0
66966,27848,7286,622665,85.63,81,15,0,6180118,83.57
71363,34978,8479,347429,96.02,190,20,0,7962402,100.0
80898,31843,12648,278528,70.16,189,1,18,8060693,100.0
28985,10532,4523,178894,46.86,179,7,1,9606235,100.0
211949,21933,19287,994365,51.42,110,6,13,8419234,84.38
152245,36704,25947,812717,87.83,185,4,16,3478716,100.0
61331,20514,6591,588232,39.02,49,14,17,5743394,68.03
64591,25079,9403,572908,77.91,182,8,19,8123294,86.42
58015,8511,3666,201703,113.1,81,9,22,3477644,100.0
155231,25667,11334,723869,112.18,189,8,9,2044808,100.0
124027,24315,24325,601434,98.57,42,9,1,4825736,100.0
24653,11408,3276,748931,90.19,59,6,17,4548952,34.12
169256,24219,4451,978446,89.43,66,7,1,8909497,71.7
46163,1648,3951,236733,86.65,30,4,0,9233483,67.14
54370,17937,9608,974331,58.13,171,6,9,5388399,42.78
59070,26870,1325,299379,69.75,141,1,5,7011046,100.0
233988,109417,2828,925200,100.67,131,5,23,4856549,100.0
19184,2996,2350,919431,111.56,90,9,14,9115169,20.5
84261,39593,14404,549887,57.23,54,3,10,2726301,100.0
109708,14926,4531,766734,88.92,80,18,21,3240808,61.41
34462,11130,2897,184119,52.47,88,2,12,1600396,100.0
57127,13936,10710,193857,2.81,103,7,14,4479521,100.0
33731,12285,243,345737,79.13,182,7,1,1983583,63.49
48309,10079,4975,488102,107.62,185,9,22,1970009,58.85
184659,28542,23055,669837,27.86,39,15,4,7633375,100.0
232708,44930,33016,784156,109.71,198,17,21,3664438,100.0
65327,24812,11449,798967,11.66,119,16,22,6069842,59.32
22630,1470,3770,81996,108.54,56,18,17,2514205,100.0
18152,4809,502,172629,26.24,154,15,2,8562777,53.69
114245,26525,12005,467222,55.9,19,17,14,5170327,100.0
12373,1666,69,758514,27.71,23,1,13,5780335,8.3
20926,10402,3918,734506,10.14,125,1,9,6859748,24.87
43996,16949,8613,188824,78.21,112,11,12,7525304,100.0
251668,49068,5196,911962,115.77,143,4,20,5834710,100.0
7688,2100,831,124495,87.89,62,0,0,5005800,43.01
99699,27594,10839,485594,99.16,68,14,11,2602604,100.0
18695,8204,2884,289139,5.8,174,13,19,262592,49.37
17612,1046,203,252456,72.54,185,1,7,742269,25.95
57927,15899,8810,421905,93.58,40,16,9,3928678,90.16
235912,68955,27745,855513,93.16,87,7,9,2403611,100.0
111586,23728,6545,692382,67.69,156,5,20,7167336,80.36
89617,43591,16902,582951,81.22,139,10,22,6984868,100.0
22811,4435,3469,428190,57.88,62,9,22,2421920,32.88
121916,4661,10420,845017,51.15,140,4,12,4074589,48.73
18447,6030,3409,267482,101.96,28,17,23,3195851,56.09
4756,1617,582,54140,105.09,53,18,23,9376055,66.01
33926,14793,2372,227658,114.93,8,6,6,1968339,100.0
234880,57468,12285,783259,73.32,57,12,7,9262453,100.0
79240,15572,8642,337337,44.39,71,11,16,8343028,100.0
18863,9258,1821,488740,101.09,57,11,10,6944695,39.56
8316,984,278,48036,32.77,154,18,23,7005897,62.72
16781,2880,1326,309631,100.34,132,17,20,5663488,33.39
62454,15577,9124,269926,89.27,122,5,23,5908635,100.0
8983,2495,367,177587,106.95,169,1,16,567568,36.41
224858,106389,30423,879927,92.19,110,4,20,3882908,100.0
15349,222,1590,71369,46.04,163,20,21,8106920,67.44
104733,1386,11789,691409,3.4,140,8,17,4809935,45.43
2813,990,250,18075,112.89,50,3,3,8797827,100.0
12479,3914,676,156230,43.82,106,2,11,6812109,48.65
83690,41444,4104,481394,82.72,25,20,20,531677,100.0
12516,2438,1224,98142,77.14,184,5,2,8386332,67.41
120415,47484,13888,886492,103.24,29,16,1,3854942,100.0
60185,21017,6952,221786,33.99,24,8,17,9454226,100.0
13487,6272,894,690177,115.45,155,4,22,6682398,25.51
31474,2820,1633,974095,100.49,104,17,10,6439970,20.66
177917,70694,24804,792413,11.25,195,11,1,1638995,100.0
35445,1674,4360,458420,74.44,157,12,10,497136,33.69
59363,29465,5975,665026,43.99,101,13,5,9829453,73.3
83296,32349,5214,692864,31.08,23,2,8,2587498,79.48
86242,27650,12870,398558,39.37,32,2,0,5171969,100.0
53349,7585,1645,466439,24.11,119,17,17,8597430,44.19
17099,921,1933,427965,72.44,88,12,0,4896486,20.77
53149,2737,9605,434011,108.81,67,18,16,2845229,58.28
86540,6752,5514,718705,60.19,21,5,13,4629971,45.25
42808,16845,3228,441657,113.42,189,20,15,9962518,74.35
43142,2692,2778,646724,113.96,90,19,12,5528892,32.12
49436,20248,8532,461707,116.96,39,9,10,3369828,90.82
50797,24516,9849,502378,36.39,182,20,15,9661751,87.36
65853,12793,10814,820059,48.37,34,18,6,9936020,46.39
35580,13738,364,572233,87.81,186,6,14,4887826,45.7
183873,75625,29447,871762,50.28,132,4,20,5080788,100.0
21142,1808,1850,253877,46.48,119,19,15,9768533,33.89
69347,32073,12106,420374,51.36,14,11,22,9007887,100.0
121484,6273,18823,622765,79.6,95,5,20,743275,79.72
174395,59636,14461,590679,90.82,115,3,0,1654443,100.0
20187,7589,2297,271406,83.14,61,14,11,6562242,57.5
113633,33909,11657,485656,42.71,11,15,3,4956630,100.0
120831,6291,20191,436281,88.16,94,9,10,7639313,100.0
57565,14197,5632,822466,53.7,183,14,10,1127098,41.77
7230,2590,67,314949,42.48,32,5,23,4092280,17.22
32789,2900,3743,541158,115.1,64,12,20,3094687,34.17
38274,8487,409,195540,74.46,55,14,18,7206800,91.56
4604,530,272,407823,85.04,21,18,3,9007602,12.56
22768,2426,619,196141,81.14,130,16,20,5258148,46.07
76822,15544,2095,626069,43.53,122,19,5,4990396,56.23
181313,9342,5642,963408,15.91,83,3,5,6263136,53.32
37083,7429,4498,727220,69.83,113,5,15,9015828,32.04
201116,93728,7799,727217,21.69,78,4,5,5277876,100.0
124315,4508,9325,882985,3.13,39,6,12,9421883,41.5
105694,22246,10663,530090,85.8,118,15,5,1387082,100.0
11236,4302,696,592962,34.43,142,9,5,7672679,15.37
133672,51503,14997,593227,15.36,34,8,17,6155019,100.0
141298,4293,20516,568473,66.47,113,3,23,4152991,90.98
82343,2123,4631,312270,103.74,27,14,3,3975395,81.03
53965,16086,3959,220173,85.87,166,13,5,2336075,100.0
57549,6411,953,823074,43.4,76,19,17,2825003,26.98
99775,15304,11642,339475,114.38,136,3,4,6905538,100.0
26200,3822,3481,963498,84.77,38,7,4,5403986,20.59
71062,30083,5796,868826,18.78,166,8,20,6949643,57.86
55513,17790,9804,393496,12.99,136,8,22,6192086,93.41
136184,23201,746,476882,93.35,192,2,23,7691602,100.0
134887,25025,2340,665778,65.06,60,13,6,8300039,87.25
29190,4348,3261,281681,17.41,129,10,21,812272,46.59
1876,739,177,48274,16.66,45,14,14,11440,27.5
30811,10704,946,448680,78.7,45,8,2,6047202,47.04
8904,2988,1171,262652,8.11,165,9,23,3928381,22.31
90077,31960,469,450181,58.26,38,18,7,8714928,100.0
99172,1383,7140,713113,16.23,113,4,15,1188401,38.89
29082,10704,726,240168,38.98,81,4,12,2233923,74.95
200474,16037,21741,672841,3.0,171,5,14,5892052,100.0
54386,20484,10027,757624,74.7,118,6,2,1685624,58.79
33527,10020,2678,146914,115.66,85,4,7,4646846,100.0
23277,6544,2839,676033,73.7,181,0,21,5060936,27.09
34515,8962,5205,215525,36.87,18,7,15,6474185,95.41
9455,3050,178,118320,106.87,8,11,10,2214405,53.57
105341,30391,8032,405729,82.59,200,15,2,280101,100.0
18223,2523,232,615995,9.14,106,16,9,8406306,11.21
104963,37145,2211,804473,65.31,162,4,8,1402626,80.86
10699,4934,2086,325060,20.33,88,12,18,1109327,28.61
69171,25432,11763,325336,8.83,27,13,3,7606417,100.0
119798,19353,17925,642139,89.4,35,0,22,2302131,97.33
9778,2476,709,735675,63.03,189,8,5,6239033,13.05
30293,13268,4481,133196,15.93,12,10,13,4563177,100.0
15670,5626,1840,549400,11.09,121,16,11,930213,19.57
135822,12464,4845,523979,93.25,151,3,7,8536765,91.89
63,27,3,2793,57.67,103,4,5,593402,20.75
140840,50684,18712,579820,28.49,68,13,23,5367720,100.0
71002,20594,2008,284534,81.45,18,5,7,8653353,100.0
13835,605,1323,48259,35.31,84,10,2,9279433,93.96
5897,638,677,479033,37.86,164,7,14,6178706,8.64
181095,90351,28304,620532,88.43,144,7,4,107103,100.0
126047,15651,9145,977789,101.07,7,10,0,6312944,58.91
199476,32051,8978,890347,118.01,112,15,1,2388730,100.0
68026,2143,3410,746321,101.77,110,11,14,1424526,34.7
22972,1732,3787,609082,10.83,150,1,13,2193021,16.13
23492,10029,4359,248373,48.37,193,10,10,7596116,77.29
22178,10475,699,285266,92.88,32,4,3,2757854,63.39
68441,14317,7494,471504,115.83,58,14,9,7773765,82.9
71501,3882,11617,277980,37.9,185,19,1,3607550,100.0
226526,18728,32546,876630,116.27,106,16,1,5013815,100.0
67632,6438,12894,272904,102.84,147,17,7,1589326,100.0
19166,7646,549,484587,9.28,61,4,6,6720747,25.47
81606,38306,1745,390421,71.16,24,0,2,3317800,100.0
186765,75930,4283,946435,101.98,89,3,1,7734311,100.0
3123,909,516,53197,48.61,12,12,21,7158334,40.96
20422,9293,1197,181301,54.63,43,1,19,4123684,84.2
64881,13746,7291,678820,9.2,76,12,4,7033693,48.34
41089,16461,2201,209246,119.3,144,0,12,6025001,100.0
84473,20906,15456,503085,61.28,104,8,5,437364,100.0
61262,1492,9990,334467,35.15,125,16,11,9797808,67.01
71407,4217,9503,244168,33.45,193,1,7,9658610,100.0
261854,52456,49062,887724,119.0,49,5,7,9940927,100.0
81320,28611,14899,333551,5.33,184,11,18,9455847,100.0
25840,2641,5107,149105,106.03,131,17,9,2945453,88.66
10806,405,1321,514359,4.35,127,0,10,3380111,7.35
40460,14618,7451,845719,101.63,87,1,0,2478296,43.62
131876,10472,3511,615204,64.1,98,2,11,6637092,70.58
24152,3812,763,614583,20.59,116,20,15,5323232,17.05
39309,11217,7015,182764,74.42,96,7,21,9881043,100.0
51974,8333,7237,854117,17.03,191,0,22,9610673,29.98
105440,40879,12195,410723,23.49,86,19,7,9488458,100.0
30773,2428,4626,109267,30.08,86,5,20,1488675,100.0
185776,60035,33049,861674,54.7,72,6,7,1137507,100.0
31037,1953,162,367606,47.54,192,13,5,6946188,27.28
137409,25022,10744,517133,99.8,152,20,21,3784750,100.0
24041,9654,276,170657,4.37,71,3,2,5734690,86.39
47740,4241,936,178468,113.14,28,10,19,8099079,92.51
14028,6618,521,738826,106.99,45,1,3,5554945,23.98
63089,13283,7132,215635,111.22,143,8,21,4723273,100.0
24609,844,2866,311947,101.1,44,1,11,64114,35.48
15881,6570,2015,448477,58.68,29,0,6,2866188,30.97
63331,3175,10736,669291,38.39,106,15,15,4446136,39.54
18763,3750,1451,95663,47.01,52,14,1,4417473,94.5
66812,8074,3832,461201,9.27,197,3,2,5767962,53.64
141555,68745,16986,847538,67.33,104,16,13,8984540,100.0
188349,45705,33323,720542,58.2,25,12,22,582747,100.0
92497,24348,10770,526591,117.97,42,3,14,2900527,100.0
294067,143022,47829,995263,16.89,113,2,21,7304786,100.0
63380,20113,10625,211827,32.43,191,2,2,6511323,100.0
73072,12407,4300,583490,56.06,8,19,18,8767235,57.44
107947,23000,3659,819756,71.38,199,3,3,9440366,64.88
32117,4823,3515,817511,42.58,110,8,12,8146860,21.24
111942,3174,6571,599909,18.97,160,12,1,6640400,52.72
247119,86084,3610,932886,58.08,73,11,0,5668552,100.0
205862,33424,34863,857191,103.27,180,3,7,2254714,100.0
92196,20939,15307,315176,33.79,111,19,20,1498084,100.0
27227,12458,2297,197164,59.17,137,11,1,8644891,100.0
46566,7564,4834,830037,18.01,139,18,0,2914929,26.5
53347,5780,866,202227,5.9,17,11,22,3340607,85.14
33573,7972,2766,287386,110.92,179,0,7,6249055,69.41
93438,9064,16327,512630,71.25,94,11,5,4339693,85.15
197108,10701,2040,785442,7.86,151,6,7,3776853,66.55
49715,16370,5224,710714,104.03,179,0,15,2219962,52.94
40890,16455,1988,678918,73.78,83,20,8,7110398,45.86
111917,20242,6059,939081,57.07,178,16,19,6663213,55.94
24317,6338,3262,612979,101.51,100,17,20,9961950,32.42
58748,20289,5812,638735,41.68,75,20,10,4645458,61.15
54861,26145,7243,273932,24.23,137,7,1,6779746,100.0
71127,5588,708,692716,60.69,80,8,13,6788143,35.44
91079,26930,18122,407235,98.29,92,7,21,8969788,100.0
159067,72247,21635,669420,61.86,48,17,5,4928978,100.0
15010,5599,2197,102444,67.97,51,10,20,1498302,100.0
26353,9873,1709,233149,94.99,89,11,8,9824346,79.95
44565,3017,689,308434,76.86,153,19,2,7922631,48.04
61949,4256,8532,932730,64.52,110,1,4,2304706,31.16
22982,11346,4116,210126,118.42,41,10,22,3025984,100.0
27312,4724,5391,816879,38.98,19,0,14,4589136,21.32
50684,4694,7809,219653,59.77,200,2,4,7276570,100.0
89375,19682,8767,664359,2.55,141,6,23,6259702,66.68
14030,2355,2349,996319,24.49,178,0,20,4174659,9.4
50111,8956,1510,237356,47.26,155,9,5,1095434,89.45
20094,9539,1886,863962,63.39,139,10,13,2244714,23.67
107441,26880,16252,359481,21.46,108,0,7,3763587,100.0
225433,25582,2090,762591,61.55,36,11,22,626954,100.0
103966,14070,11360,393517,7.73,17,3,20,331311,100.0
10643,2279,842,50678,66.58,126,4,6,156204,100.0
41707,2480,4440,315843,75.49,184,4,13,1760268,52.35
117201,7933,3191,536535,14.54,55,19,6,4412405,64.39
141011,15344,20047,871989,36.85,15,17,15,3484626,70.87
202522,34832,1120,721734,81.25,33,18,21,8289790,100.0
44652,17502,876,156489,87.38,70,20,7,7663114,100.0
26888,928,4398,310501,105.15,79,11,21,5246454,41.45
100159,5663,15309,446788,7.41,40,20,5,5514113,83.95
101028,48290,5790,374994,88.5,100,10,5,1909884,100.0
52993,12384,8900,420345,83.41,127,13,20,2798182,78.9
5745,2102,1128,118648,101.63,31,13,18,8098040,44.69
147228,33082,18286,841335,93.94,161,0,21,2192132,100.0
140297,9166,11953,506645,7.42,71,20,10,207469,91.91
