transaction_id,year,month,quarter,country,iso3_code,region,platform,game_edition,sales_channel,retailer,units_sold,gross_revenue_usd,average_selling_price_usd,discount_percentage,digital_sales_percentage,physical_sales_percentage,new_customers,returning_customers,estimated_active_players,peak_concurrent_players,online_players,story_mode_players,gta_online_players,dlc_revenue_usd,shark_card_revenue_usd,average_playtime_hours,average_session_length_minutes,holiday_season,major_sale_event,marketing_campaign,customer_rating,review_count,refund_rate_percentage,currency,exchange_rate_to_usd,internet_penetration_percentage,gaming_market_size,population_millions,gdp_per_capita_usd,release_phase,weekend_sales_percentage,weekday_sales_percentage,season,special_event,top_game_category,platform_generation
GTA5-100004,2013,9,3,Brazil,BRA,South America,PS3,Standard Edition,Physical,GameStop,1299,22355.79,17.21,42.6,37.6,62.4,704,595,64269,4061,37205,27064,37205,22431.11,46607.19,18.0,39.5,0,Xbox Sale,1,4.5,20,4.09,BRL,5.025,67.0,220.16,202.47,12135.96,Launch,44.9,55.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100092,2013,9,3,Brazil,BRA,South America,Xbox 360,Standard Edition,Physical,Local Retailer,1142,23559.46,20.63,31.2,33.3,66.7,707,435,46163,2761,27520,18643,27520,23444.07,57335.88,16.0,37.2,0,Xbox Sale,1,4.22,22,5.86,BRL,5.1133,67.0,218.95,202.47,12069.16,Launch,43.7,56.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100073,2013,9,3,Bulgaria,BGR,Europe,PS3,Standard Edition,Physical,Best Buy,392,5809.44,14.82,50.6,38.1,61.9,261,131,18068,1289,13246,4822,13246,5898.0,22191.35,15.6,43.6,0,Xbox Sale,1,4.31,5,3.87,BGN,1.7698,70.2,1.6,7.25,7658.48,Launch,47.9,52.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100087,2013,9,3,Cambodia,KHM,Asia,Xbox 360,Criminal Enterprise Starter Pack,Physical,GameStop,91,1888.25,20.75,30.8,41.1,58.9,52,39,3641,314,2587,1054,2587,1014.71,3575.96,14.9,42.6,0,Xbox Sale,1,4.46,3,7.28,KHR,4113.2845,41.8,0.1,15.11,1077.99,Launch,37.1,62.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100002,2013,9,3,Canada,CAN,North America,PS3,Premium Edition,Physical,Walmart,1263,22266.69,17.63,41.2,38.5,61.5,708,555,56265,3156,38781,17484,38781,22987.11,56400.32,17.9,48.1,0,Xbox Sale,1,4.31,12,1.35,CAD,1.3253,92.4,176.43,35.26,52122.47,Launch,41.0,59.0,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100090,2013,9,3,Canada,CAN,North America,Xbox 360,Standard Edition,Physical,Local Retailer,1083,16591.56,15.32,48.9,39.3,60.7,736,347,75875,4862,51416,24459,51416,20595.82,58329.6,19.8,61.1,0,Xbox Sale,1,4.55,15,2.22,CAD,1.2989,92.4,177.18,35.26,52343.71,Launch,45.6,54.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100006,2013,9,3,Chile,CHL,South America,PS3,Premium Edition,Physical,Target,482,5393.58,11.19,62.7,40.0,60.0,327,155,12537,645,8286,4251,8286,6097.29,18516.78,18.3,42.8,0,Xbox Sale,1,4.68,6,4.18,CLP,894.1069,74.6,6.94,17.12,15823.65,Launch,45.8,54.2,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100094,2013,9,3,Chile,CHL,South America,PS3,Standard Edition,Physical,Amazon,428,6967.84,16.28,45.7,36.8,63.2,272,156,14502,1138,9273,5229,9273,5211.79,11603.86,16.3,35.7,0,Xbox Sale,1,4.57,4,5.27,CLP,888.1938,74.6,6.9,17.12,15752.34,Launch,48.5,51.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100066,2013,9,3,China,CHN,Asia,PS3,Legacy Edition,Physical,Best Buy,3336,47738.16,14.31,52.3,38.7,61.3,2210,1126,112051,9988,72802,39249,72802,38814.48,137633.58,17.4,50.8,0,Xbox Sale,1,4.63,40,6.57,CNY,7.0289,67.4,2140.32,1396.15,7370.27,Launch,52.4,47.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100007,2013,9,3,Colombia,COL,South America,PS3,Premium Edition,Physical,Best Buy,354,7143.72,20.18,32.7,37.6,62.4,231,123,17257,1479,11282,5975,11282,7783.51,22665.07,17.3,49.8,0,Xbox Sale,1,4.61,8,3.46,COP,3945.2736,67.0,11.18,47.34,8202.35,Launch,39.9,60.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100095,2013,9,3,Colombia,COL,South America,Xbox 360,Standard Edition,Physical,Amazon,458,8349.34,18.23,39.2,35.6,64.4,260,198,14166,1223,8627,5539,8627,6448.82,15904.74,13.7,51.8,0,Xbox Sale,1,4.87,9,3.3,COP,3968.8958,67.0,11.21,47.34,8220.36,Launch,40.1,59.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100082,2013,9,3,Croatia,HRV,Europe,Xbox 360,Premium Edition,Physical,Local Retailer,274,6162.26,22.49,25.0,37.7,62.3,186,88,17220,1303,12457,4763,12457,14029.11,29401.76,14.2,21.7,0,Xbox Sale,1,4.49,4,4.88,EUR,0.8808,75.4,1.5,4.23,13807.33,Launch,45.1,54.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100023,2013,9,3,Cyprus,CYP,Europe,PS3,Standard Edition,Physical,Best Buy,246,3261.96,13.26,55.8,38.1,61.9,156,90,9811,650,5823,3988,5823,2158.85,6088.13,10.9,30.1,0,Xbox Sale,1,4.82,3,3.05,EUR,0.8963,76.2,0.38,0.87,27152.0,Launch,47.7,52.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100052,2013,9,3,Czech Republic,CZE,Europe,Xbox 360,Premium Edition,Physical,Local Retailer,853,16727.33,19.61,34.6,35.8,64.2,537,316,28345,2494,17532,10813,17532,10454.1,40198.28,15.7,51.7,0,Xbox Sale,1,4.35,23,2.78,CZK,22.6959,83.8,10.24,10.58,20154.85,Launch,43.6,56.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100020,2013,9,3,Denmark,DNK,Europe,PS3,Standard Edition,Physical,Target,896,12579.84,14.04,53.2,38.6,61.4,484,412,31267,1627,20985,10282,20985,12746.36,48225.41,14.2,31.8,0,Xbox Sale,1,4.65,25,4.68,DKK,6.9916,96.2,18.18,5.64,59260.7,Launch,51.4,48.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100010,2013,9,3,Ecuador,ECU,South America,PS3,Standard Edition,Physical,Amazon,163,2643.86,16.22,45.9,44.6,55.4,102,61,4941,406,3179,1762,3179,1683.78,3681.54,13.1,44.7,0,Xbox Sale,1,4.46,3,2.97,USD,0.9947,56.8,0.95,16.12,6130.59,Launch,40.7,59.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100098,2013,9,3,Ecuador,ECU,South America,PS3,Standard Edition,Physical,Walmart,143,2598.31,18.17,39.4,36.9,63.1,83,60,5365,356,3765,1600,3765,2909.68,6627.62,11.9,44.3,0,Xbox Sale,1,4.68,4,0.44,USD,0.9999,56.8,0.94,16.12,6100.36,Launch,47.4,52.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100051,2013,9,3,Egypt,EGY,Africa,PS3,Legacy Edition,Physical,Best Buy,773,7559.94,9.78,67.4,38.3,61.7,439,334,24819,1675,16822,7997,16822,6353.97,23930.65,15.9,35.1,0,Xbox Sale,1,4.68,8,4.0,EGP,30.9689,57.4,13.06,91.67,3425.23,Launch,45.5,54.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100064,2013,9,3,Estonia,EST,Europe,PS3,Standard Edition,Physical,Local Retailer,556,6621.96,11.91,60.3,36.3,63.7,302,254,20015,1469,11790,8225,11790,4065.26,13472.45,13.3,54.3,0,Xbox Sale,1,4.48,6,4.26,EUR,0.8939,87.2,0.64,1.31,19215.24,Launch,42.7,57.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100059,2013,9,3,Ethiopia,ETH,Africa,PS3,Standard Edition,Physical,GameStop,265,3474.15,13.11,56.3,38.9,61.1,169,96,6351,517,4550,1801,4550,2954.44,6757.57,13.9,53.7,0,Xbox Sale,1,4.51,4,4.06,ETB,56.0442,37.0,0.75,96.7,608.69,Launch,46.5,53.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100062,2013,9,3,Fiji,FJI,Oceania,PS3,Legacy Edition,Physical,GameStop,111,1598.4,14.4,52.0,37.1,62.9,76,35,2592,149,1540,1052,1540,1279.4,3267.07,12.4,39.1,0,Xbox Sale,1,4.43,3,6.92,FJD,2.2418,55.0,0.03,0.91,4980.03,Launch,43.9,56.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100021,2013,9,3,Finland,FIN,Europe,Xbox 360,Standard Edition,Physical,Target,732,11873.04,16.22,45.9,35.3,64.7,476,256,24759,1506,17132,7627,17132,7434.45,18398.58,18.7,38.9,0,Xbox Sale,1,4.62,20,0.64,EUR,0.8946,95.0,13.94,5.44,50032.24,Launch,50.6,49.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100013,2013,9,3,France,FRA,Europe,Xbox 360,Standard Edition,Physical,Best Buy,2782,55139.24,19.82,33.9,37.9,62.1,1894,888,65324,5470,47721,17603,47721,42921.32,104527.86,15.9,42.3,0,Xbox Sale,1,4.51,30,2.85,EUR,0.9132,88.2,439.74,66.48,43063.98,Launch,46.8,53.2,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100056,2013,9,3,Georgia,GEO,Asia,Xbox 360,Standard Edition,Physical,Target,216,3214.08,14.88,50.4,38.4,61.6,141,75,8573,690,5539,3034,5539,3540.46,10983.96,12.5,53.1,0,Xbox Sale,1,4.57,4,4.18,GEL,2.6877,66.8,0.27,3.73,4495.53,Launch,53.3,46.7,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100012,2013,9,3,Germany,DEU,Europe,Xbox 360,Premium Edition,Physical,GameStop,2757,47447.97,17.21,42.6,37.8,62.2,1499,1258,113854,8792,71582,42272,71582,77434.44,167323.47,17.5,48.7,0,Xbox Sale,1,4.59,33,7.14,EUR,0.9142,90.4,730.08,81.59,46604.84,Launch,56.5,43.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100079,2013,9,3,Ghana,GHA,Africa,Xbox 360,Standard Edition,Physical,Walmart,389,5994.49,15.41,48.6,34.9,65.1,231,158,11365,937,7400,3965,7400,4267.8,9781.78,12.9,31.0,0,Xbox Sale,1,4.57,4,3.18,GHS,11.9771,46.4,0.99,26.19,1968.39,Launch,34.7,65.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100085,2013,9,3,Greece,GRC,Europe,PS3,Standard Edition,Physical,Amazon,658,10534.58,16.01,46.6,32.3,67.7,378,280,19923,1611,12465,7458,12465,4879.65,12423.0,12.9,31.8,0,Xbox Sale,1,4.24,5,4.87,EUR,0.905,71.0,8.44,11.08,21629.55,Launch,45.2,54.8,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100065,2013,9,3,Hong Kong,HKG,Asia,Xbox 360,Premium Edition,Physical,Local Retailer,1410,13620.6,9.66,67.8,39.7,60.3,800,610,41264,3597,23519,17745,23519,12825.27,45724.15,13.2,27.8,0,Xbox Sale,1,4.74,34,6.21,HKD,7.861,83.0,21.16,7.25,37995.98,Launch,48.1,51.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100080,2013,9,3,Hungary,HUN,Europe,Xbox 360,Criminal Enterprise Starter Pack,Physical,Amazon,557,11624.59,20.87,30.4,42.2,57.8,323,234,23086,1969,16208,6878,16208,9230.34,24973.79,17.3,41.5,0,Xbox Sale,1,4.6,7,2.34,HUF,352.79,81.6,5.29,9.97,13811.36,Launch,45.9,54.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100069,2013,9,3,Iceland,ISL,Europe,Xbox 360,Premium Edition,Physical,Target,217,2805.81,12.93,56.9,31.0,69.0,132,85,10704,872,6595,4109,6595,3896.19,12268.15,14.4,60.0,0,Xbox Sale,1,4.49,5,1.42,ISK,139.1668,98.0,0.33,0.33,52555.79,Launch,47.3,52.7,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100029,2013,9,3,India,IND,Asia,Xbox 360,Standard Edition,Physical,Target,2086,28786.8,13.8,54.0,36.6,63.4,1421,665,67185,4185,44993,22192,44993,38089.59,93255.71,16.8,49.4,0,Xbox Sale,1,4.35,45,6.15,INR,83.3017,45.4,224.22,1261.16,1587.43,Launch,44.7,55.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100063,2013,9,3,Indonesia,IDN,Asia,PS3,Standard Edition,Physical,Walmart,928,15636.8,16.85,43.8,36.8,63.2,617,311,36735,2403,22193,14542,22193,17290.59,41250.27,16.1,35.8,0,Xbox Sale,1,4.64,7,1.27,IDR,15656.9967,43.0,65.45,251.83,3691.96,Launch,44.4,55.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100031,2013,9,3,Iraq,IRQ,Asia,Xbox 360,Premium Edition,Physical,Target,267,3988.98,14.94,50.2,40.9,59.1,166,101,9641,838,6888,2753,6888,2034.34,7335.69,16.1,32.9,0,Xbox Sale,1,4.58,6,5.02,IQD,1293.1975,44.0,4.26,34.25,6482.13,Launch,42.0,58.0,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100035,2013,9,3,Ireland,IRL,Europe,PS3,Premium Edition,Physical,Walmart,618,11507.16,18.62,37.9,39.6,60.4,346,272,40142,2908,28436,11706,28436,24438.9,49007.63,16.6,53.6,0,Xbox Sale,1,4.48,16,2.5,EUR,0.8957,88.4,10.56,4.63,47499.07,Launch,43.8,56.2,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100053,2013,9,3,Israel,ISR,Asia,PS3,Criminal Enterprise Starter Pack,Physical,Best Buy,1073,13487.61,12.57,58.1,38.1,61.9,696,377,34314,2960,21750,12564,21750,12673.78,35203.71,15.7,39.9,0,Xbox Sale,1,4.55,10,5.34,ILS,3.728,79.8,17.63,8.16,37509.56,Launch,44.1,55.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100014,2013,9,3,Italy,ITA,Europe,PS3,Premium Edition,Physical,Target,1996,31836.2,15.95,46.8,36.0,64.0,1219,777,68824,4081,42911,25913,42911,28471.36,67557.99,17.7,46.0,0,Xbox Sale,1,4.5,57,4.02,EUR,0.9106,71.2,237.93,60.44,35147.8,Launch,54.7,45.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100060,2013,9,3,Japan,JPN,Asia,Xbox 360,Premium Edition,Physical,Walmart,2362,36469.28,15.44,48.5,38.4,61.6,1265,1097,86895,7037,48397,38498,48397,17327.5,60434.37,15.5,59.7,0,Xbox Sale,1,4.26,61,2.83,JPY,150.0449,91.6,926.73,127.93,41159.14,Launch,42.6,57.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100033,2013,9,3,Jordan,JOR,Asia,Xbox 360,Standard Edition,Physical,Walmart,244,4162.64,17.06,43.1,38.8,61.2,143,101,8477,697,6355,2122,6355,3004.26,7630.48,15.9,43.4,0,Xbox Sale,1,4.31,4,2.65,JOD,0.7088,62.4,0.56,6.55,4466.34,Launch,55.2,44.8,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100084,2013,9,3,Kazakhstan,KAZ,Asia,Xbox 360,Premium Edition,Physical,Local Retailer,359,5489.11,15.29,49.0,34.9,65.1,245,114,15063,1255,10337,4726,10337,7322.57,23159.65,14.4,50.1,0,Xbox Sale,1,4.5,3,2.06,KZT,445.769,71.6,6.51,17.12,13194.78,Launch,40.3,59.7,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100027,2013,9,3,Kenya,KEN,Africa,PS3,Legacy Edition,Physical,Local Retailer,581,9127.51,15.71,47.6,36.0,64.0,327,254,14001,725,8352,5649,8352,5902.74,15811.38,15.4,41.0,0,Xbox Sale,1,4.44,7,2.04,KES,128.7688,55.6,1.58,44.32,1392.25,Launch,47.2,52.8,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100025,2013,9,3,Kuwait,KWT,Asia,Xbox 360,Standard Edition,Physical,GameStop,548,9513.28,17.36,42.1,36.1,63.9,320,228,13433,679,9610,3823,9610,4717.39,11787.28,13.5,53.6,0,Xbox Sale,1,4.34,8,2.44,KWD,0.3113,85.4,5.66,3.42,51686.83,Launch,58.1,41.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100061,2013,9,3,Latvia,LVA,Europe,PS3,Premium Edition,Physical,Target,395,6442.45,16.31,45.6,36.8,63.2,258,137,16957,1097,10069,6888,10069,3206.95,11812.16,13.8,43.2,0,Xbox Sale,1,4.5,4,4.64,EUR,0.9087,81.6,0.7,2.01,15441.6,Launch,46.9,53.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100067,2013,9,3,Lebanon,LBN,Asia,PS3,Premium Edition,Physical,GameStop,283,3786.54,13.38,55.4,35.8,64.2,193,90,9122,576,5839,3283,5839,4548.23,11704.16,16.8,40.9,0,Xbox Sale,1,4.46,4,4.35,LBP,89068.4019,72.2,0.95,5.94,10004.99,Launch,54.7,45.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100055,2013,9,3,Lithuania,LTU,Europe,PS3,Criminal Enterprise Starter Pack,Physical,Walmart,564,7529.4,13.35,55.5,37.7,62.3,362,202,16106,1063,11677,4429,11677,13159.02,28390.8,17.5,43.8,0,Xbox Sale,1,4.42,11,5.38,EUR,0.8931,78.4,1.2,2.92,16005.66,Launch,46.5,53.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100030,2013,9,3,Luxembourg,LUX,Europe,PS3,Premium Edition,Physical,Walmart,295,5121.2,17.36,42.1,39.2,60.8,192,103,10983,792,7477,3506,7477,4646.92,10721.06,17.6,38.7,0,Xbox Sale,1,4.32,3,2.61,EUR,0.9073,97.2,1.33,0.55,107749.09,Launch,43.4,56.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100048,2013,9,3,Malaysia,MYS,Asia,Xbox 360,Standard Edition,Physical,Best Buy,1494,27414.9,18.35,38.8,36.4,63.6,823,671,35732,2996,20935,14797,20935,12242.26,28632.77,15.9,50.5,0,Xbox Sale,1,4.71,40,1.85,MYR,4.6627,78.2,21.44,30.22,11083.93,Launch,48.6,51.4,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100003,2013,9,3,Mexico,MEX,North America,Xbox 360,Standard Edition,Physical,Local Retailer,1111,13998.6,12.6,58.0,39.3,60.7,673,438,37715,2031,27551,10164,27551,15893.57,40256.78,18.3,35.6,0,Xbox Sale,1,4.47,29,4.5,MXN,18.543,60.6,94.61,122.89,10935.54,Launch,43.4,56.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100091,2013,9,3,Mexico,MEX,North America,Xbox 360,Standard Edition,Physical,Local Retailer,837,14379.66,17.18,42.7,40.0,60.0,535,302,34882,1778,20721,14161,20721,9583.61,36328.72,13.8,38.8,0,Xbox Sale,1,4.64,22,3.55,MXN,18.6615,60.6,95.58,122.89,11047.93,Launch,45.3,54.7,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100049,2013,9,3,Morocco,MAR,Africa,Xbox 360,Standard Edition,Physical,Amazon,442,8442.2,19.1,36.3,35.4,64.6,272,170,21102,1502,13870,7232,13870,8011.76,16415.45,15.2,45.7,0,Xbox Sale,1,4.71,12,3.63,MAD,9.9838,65.8,3.1,33.24,3233.15,Launch,48.9,51.1,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100071,2013,9,3,Myanmar,MMR,Asia,PS3,Standard Edition,Physical,GameStop,174,1910.52,10.98,63.4,38.2,61.8,105,69,6713,379,4589,2124,4589,1763.74,4826.46,14.7,31.9,0,Xbox Sale,1,4.59,3,4.23,MMK,2060.5622,42.4,0.65,53.39,1264.85,Launch,49.7,50.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100070,2013,9,3,Nepal,NPL,Asia,Xbox 360,Standard Edition,Physical,GameStop,117,2336.49,19.97,33.4,37.2,62.8,69,48,3620,298,2339,1281,2339,1604.11,4502.82,13.4,22.7,0,Xbox Sale,1,4.2,3,1.55,NPR,132.1021,41.0,0.2,28.2,742.3,Launch,50.0,50.0,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100016,2013,9,3,Netherlands,NLD,Europe,PS3,Standard Edition,Physical,Target,1439,20980.62,14.58,51.4,34.0,66.0,828,611,43672,2349,29401,14271,29401,20166.55,55025.24,15.5,54.7,0,Xbox Sale,1,4.59,35,4.98,EUR,0.8814,97.0,78.19,17.12,50970.05,Launch,54.1,45.9,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100054,2013,9,3,New Zealand,NZL,Oceania,PS3,Legacy Edition,Physical,Local Retailer,920,11205.6,12.18,59.4,32.1,67.9,528,392,28911,1595,17492,11419,17492,16950.77,35492.92,14.8,49.5,0,Xbox Sale,1,4.61,18,1.45,NZD,1.6042,90.6,10.71,4.43,41990.55,Launch,44.2,55.8,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100045,2013,9,3,Nigeria,NGA,Africa,Xbox 360,Standard Edition,Physical,Local Retailer,658,11561.06,17.57,41.4,39.8,60.2,391,267,25808,1425,15035,10773,15035,11501.49,36994.27,15.5,30.0,0,Xbox Sale,1,4.35,16,3.32,NGN,907.4793,54.4,24.02,175.27,3058.78,Launch,42.5,57.5,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100019,2013,9,3,Norway,NOR,Europe,Xbox 360,Standard Edition,Physical,Amazon,697,14839.13,21.29,29.0,38.4,61.6,474,223,33170,1805,24857,8313,24857,15668.19,56644.65,17.2,44.1,0,Xbox Sale,1,4.57,6,3.52,NOK,10.426,97.4,29.46,5.14,99518.26,Launch,48.7,51.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100075,2013,9,3,Oman,OMN,Asia,Xbox 360,Standard Edition,Physical,GameStop,369,7291.44,19.76,34.1,34.3,65.7,251,118,15446,794,8981,6465,8981,4515.45,11916.03,11.5,54.8,0,Xbox Sale,1,4.63,10,4.86,OMR,0.3842,79.6,1.84,4.03,20339.02,Launch,44.4,55.6,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100081,2013,9,3,Pakistan,PAK,Asia,Xbox 360,Standard Edition,Physical,Amazon,502,9934.58,19.79,34.0,33.6,66.4,333,169,14808,1226,8857,5951,8857,5270.62,15144.82,16.5,49.5,0,Xbox Sale,1,4.25,12,6.0,PKR,280.1902,42.0,7.9,183.33,1346.07,Launch,46.7,53.3,Autumn,Xbox Sale,Action-Adventure,Gen7
GTA5-100008,2013,9,3,Peru,PER,South America,Xbox 360,Premium Edition,Physical,GameStop,297,5057.91,17.03,43.2,41.5,58.5,199,98,13097,817,9239,3858,9239,2837.5,11193.99,15.0,44.8,0,Xbox Sale,1,4.75,3,4.1,PEN,3.6982,58.2,3.99,30.22,6875.63,Launch,35.7,64.3,Autumn,Xbox Sale,Action-Adventure,Gen7
