model_id,hf_downloads_30d,hf_likes,recorded_at
nvidia/Kimi-K2.5-NVFP4,1350880,83,2026-05-19 08:02:26.173196
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,1333057,3,2026-05-19 08:02:26.173196
datajuicer/LLaMA-1B-dj-refine-150B,1300634,3,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,1232487,736,2026-05-19 08:02:26.173196
HuggingFaceTB/SmolLM2-135M,1224885,191,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-3B,1211359,780,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V3,1208461,4069,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,1181483,598,2026-05-19 08:02:26.173196
Qwen/Qwen3-30B-A3B-Instruct-2507,1178388,809,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,1150555,37,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-32B-Instruct-AWQ,1125934,99,2026-05-19 08:02:26.173196
Qwen/Qwen3-Coder-Next,1122052,1369,2026-05-19 08:02:26.173196
sshleifer/tiny-gpt2,1082778,35,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V2-Lite-Chat,1082576,138,2026-05-19 08:02:26.173196
h2oai/h2ovl-mississippi-800m,1049927,40,2026-05-19 08:02:26.173196
RedHatAI/Llama-3.2-1B-Instruct-FP8,1042835,3,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-1.5B-Instruct-AWQ,1038120,7,2026-05-19 08:02:26.173196
ricdomolm/mini-coder-1.7b,1027949,5,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-72B-Instruct-AWQ,1024583,77,2026-05-19 08:02:26.173196
TheBloke/TinyLlama-1.1B-Chat-v0.3-GPTQ,1024438,10,2026-05-19 08:02:26.173196
h2oai/h2ovl-mississippi-2b,1017233,42,2026-05-19 08:02:26.173196
mistralai/Mistral-7B-v0.1,1012322,4090,2026-05-19 08:02:26.173196
zai-org/GLM-5.1-FP8,1011603,105,2026-05-19 08:02:26.173196
meta-llama/Llama-3.3-70B-Instruct,988830,2766,2026-05-19 08:02:26.173196
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,988481,42,2026-05-19 08:02:26.173196
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,987476,0,2026-05-19 08:02:26.173196
Qwen/Qwen3-32B-AWQ,944922,131,2026-05-19 08:02:26.173196
llamafactory/tiny-random-Llama-3,913802,3,2026-05-19 08:02:26.173196
Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,906476,180,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,904087,307,2026-05-19 08:02:26.173196
google/gemma-3-1b-it,902418,953,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,897938,341,2026-05-19 08:02:26.173196
nvidia/Gemma-4-26B-A4B-NVFP4,860312,56,2026-05-19 08:02:26.173196
google/t5gemma-s-s-prefixlm,857251,4,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-72B-Instruct,847756,940,2026-05-19 08:02:26.173196
BAAI/bge-small-en-v1.5,46342929,463,2026-05-19 08:02:26.173196
BAAI/bge-large-en-v1.5,14636266,664,2026-05-19 08:02:26.173196
BAAI/bge-base-en-v1.5,9046808,424,2026-05-19 08:02:26.173196
intfloat/multilingual-e5-large,7248761,1192,2026-05-19 08:02:26.173196
Qwen/Qwen3-Embedding-0.6B,6172793,1023,2026-05-19 08:02:26.173196
mixedbread-ai/mxbai-embed-large-v1,4662343,798,2026-05-19 08:02:26.173196
Xenova/all-MiniLM-L6-v2,4059743,117,2026-05-19 08:02:26.173196
Xenova/multilingual-e5-small,3607610,11,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v3,3502000,1142,2026-05-19 08:02:26.173196
facebook/w2v-bert-2.0,3266067,216,2026-05-19 08:02:26.173196
BAAI/bge-small-zh-v1.5,2706572,113,2026-05-19 08:02:26.173196
Qwen/Qwen3-Embedding-4B,2604997,267,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,1904267,67,2026-05-19 08:02:26.173196
kyutai/mimi,1872648,301,2026-05-19 08:02:26.173196
Xenova/bge-base-en-v1.5,1652161,9,2026-05-19 08:02:26.173196
Qwen/Qwen3-Embedding-8B,1621097,680,2026-05-19 08:02:26.173196
BAAI/bge-reranker-large,1432437,459,2026-05-19 08:02:26.173196
unslothai/1,1358528,1,2026-05-19 08:02:26.173196
WhereIsAI/UAE-Large-V1,1336642,237,2026-05-19 08:02:26.173196
intfloat/multilingual-e5-large-instruct,1311083,622,2026-05-19 08:02:26.173196
unslothai/repeat,1228626,0,2026-05-19 08:02:26.173196
BAAI/bge-multilingual-gemma2,1217333,201,2026-05-19 08:02:26.173196
ibm-granite/granite-embedding-small-english-r2,1189763,68,2026-05-19 08:02:26.173196
BAAI/bge-large-zh-v1.5,957543,625,2026-05-19 08:02:26.173196
indobenchmark/indobert-base-p1,918839,48,2026-05-19 08:02:26.173196
nreimers/TinyBERT_L-4_H-312_v2,872829,1,2026-05-19 08:02:26.173196
facebook/bart-base,849500,205,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v2-small-en,803244,141,2026-05-19 08:02:26.173196
nvidia/llama-nemotron-embed-1b-v2,788942,56,2026-05-19 08:02:26.173196
YituTech/conv-bert-base,763364,10,2026-05-19 08:02:26.173196
microsoft/wavlm-base-plus,696818,37,2026-05-19 08:02:26.173196
dmis-lab/biobert-v1.1,676681,111,2026-05-19 08:02:26.173196
laion/clap-htsat-unfused,676212,72,2026-05-19 08:02:26.173196
ai-forever/ru-en-RoSBERTa,646728,79,2026-05-19 08:02:26.173196
microsoft/wavlm-large,624377,105,2026-05-19 08:02:26.173196
allenai/specter2_base,604144,44,2026-05-19 08:02:26.173196
unslothai/other,597147,0,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-from-PubMedBERT-fulltext-mean-token,588908,2,2026-05-19 08:02:26.173196
naver/splade-cocondenser-ensembledistil,555489,62,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v2-base-code,547068,138,2026-05-19 08:02:26.173196
unslothai/vram-16,544435,0,2026-05-19 08:02:26.173196
BAAI/bge-base-zh-v1.5,514884,105,2026-05-19 08:02:26.173196
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,510062,19,2026-05-19 08:02:26.173196
ai-forever/FRIDA,483095,137,2026-05-19 08:02:26.173196
DeepPavlov/rubert-base-cased,471004,128,2026-05-19 08:02:26.173196
danielheinz/e5-base-sts-en-de,441620,17,2026-05-19 08:02:26.173196
unslothai/lambda,430141,0,2026-05-19 08:02:26.173196
BAAI/bge-small-en,413216,92,2026-05-19 08:02:26.173196
intfloat/e5-mistral-7b-instruct,404450,564,2026-05-19 08:02:26.173196
ncbi/MedCPT-Query-Encoder,381113,61,2026-05-19 08:02:26.173196
Xenova/bge-small-en-v1.5,372070,16,2026-05-19 08:02:26.173196
sentence-transformers/distilbert-base-nli-mean-tokens,341024,13,2026-05-19 08:02:26.173196
facebook/bart-large,336981,200,2026-05-19 08:02:26.173196
sonoisa/sentence-bert-base-ja-mean-tokens,317013,11,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v2-base-de,305161,83,2026-05-19 08:02:26.173196
microsoft/codebert-base,298216,287,2026-05-19 08:02:26.173196
mesolitica/llama2-embedding-1b-8k,289932,2,2026-05-19 08:02:26.173196
farbodtavakkoli/OTel-Embedding-300M,271184,0,2026-05-19 08:02:26.173196
allegro/herbert-base-cased,264688,22,2026-05-19 08:02:26.173196
facebook/hubert-base-ls960,253286,74,2026-05-19 08:02:26.173196
BAAI/bge-small-zh,247651,27,2026-05-19 08:02:26.173196
OrdalieTech/Solon-embeddings-large-0.1,236143,53,2026-05-19 08:02:26.173196
BAAI/bge-large-en,234562,224,2026-05-19 08:02:26.173196
GPTCache/paraphrase-albert-small-v2,225844,2,2026-05-19 08:02:26.173196
microsoft/harrier-oss-v1-0.6b,217155,236,2026-05-19 08:02:26.173196
relik-ie/encoder-e5-small-v2-wikipedia-relations,215905,0,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v5-text-small,215070,165,2026-05-19 08:02:26.173196
relik-ie/relik-reader-deberta-v3-small-re-wikipedia,215045,0,2026-05-19 08:02:26.173196
unslothai/vram-48,208708,0,2026-05-19 08:02:26.173196
unslothai/vram-24,206299,0,2026-05-19 08:02:26.173196
IAMJB/RadEvalModernBERT,202520,5,2026-05-19 08:02:26.173196
unslothai/aws,200800,1,2026-05-19 08:02:26.173196
unslothai/vram-40,195382,0,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,195279,11,2026-05-19 08:02:26.173196
zeroentropy/zembed-1-embedding,194203,99,2026-05-19 08:02:26.173196
laion/larger_clap_general,189151,50,2026-05-19 08:02:26.173196
ibm-research/MoLFormer-XL-both-10pct,187233,35,2026-05-19 08:02:26.173196
ragavsachdeva/magi,186481,49,2026-05-19 08:02:26.173196
nlpai-lab/KURE-v1,186112,86,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v5-text-nano,184852,70,2026-05-19 08:02:26.173196
Xenova/paraphrase-multilingual-MiniLM-L12-v2,183775,16,2026-05-19 08:02:26.173196
mixedbread-ai/mxbai-embed-2d-large-v1,182751,43,2026-05-19 08:02:26.173196
voyageai/voyage-4-nano,175795,110,2026-05-19 08:02:26.173196
princeton-nlp/sup-simcse-roberta-base,167628,9,2026-05-19 08:02:26.173196
mixedbread-ai/deepset-mxbai-embed-de-large-v1,166816,58,2026-05-19 08:02:26.173196
ntu-spml/distilhubert,165335,38,2026-05-19 08:02:26.173196
BAAI/bge-base-en,156967,61,2026-05-19 08:02:26.173196
unslothai/vram-96,155460,0,2026-05-19 08:02:26.173196
microsoft/harrier-oss-v1-270m,154676,162,2026-05-19 08:02:26.173196
jinaai/jina-clip-v2,153949,331,2026-05-19 08:02:26.173196
farbodtavakkoli/OTel-Embedding-109M,151137,1,2026-05-19 08:02:26.173196
unslothai/vram-80,150830,0,2026-05-19 08:02:26.173196
descript/dac_44khz,139259,11,2026-05-19 08:02:26.173196
naver/splade-v3,138186,97,2026-05-19 08:02:26.173196
arkohut/jina-embeddings-v2-base-en,135726,0,2026-05-19 08:02:26.173196
microsoft/unixcoder-base,132725,68,2026-05-19 08:02:26.173196
prithivida/Splade_PP_en_v2,121722,33,2026-05-19 08:02:26.173196
ncbi/MedCPT-Article-Encoder,117730,28,2026-05-19 08:02:26.173196
binedge/Qwen3-Embedding-0.6B-FP8,117648,1,2026-05-19 08:02:26.173196
bosonai/hubert_base,116043,1,2026-05-19 08:02:26.173196
danielheinz/e5-base-sts-en-de,1012322,3,2026-05-19 08:02:26.173196
Qwen/Qwen3Guard-Gen-0.6B,12975576,1151,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-1.5B-Instruct,165335,237,2026-05-19 08:02:26.173196
EleutherAI/pythia-70m-deduped,2400226,28,2026-05-19 08:02:26.173196
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,1211359,2,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V2-Lite-Chat,10785213,3,2026-05-19 08:02:26.173196
facebook/bart-base,1714626,141,2026-05-19 08:02:26.173196
HuggingFaceTB/SmolLM2-135M-Instruct,857251,284,2026-05-19 08:02:26.173196
BAAI/bge-small-en,186481,5,2026-05-19 08:02:26.173196
BAAI/bge-base-en,902418,664,2026-05-19 08:02:26.173196
Qwen/Qwen3Guard-Gen-0.6B,514884,68,2026-05-19 08:02:26.173196
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,7247240,1369,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,7705517,13331,2026-05-19 08:02:26.173196
Qwen/Qwen3-30B-A3B,154676,113,2026-05-19 08:02:26.173196
facebook/bart-large,6667164,17,2026-05-19 08:02:26.173196
datajuicer/LLaMA-1B-dj-refine-150B,1228626,0,2026-05-19 08:02:26.173196
Qwen/Qwen3-Embedding-8B,236143,35,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-from-PubMedBERT-fulltext-mean-token,1559939,9,2026-05-19 08:02:26.173196
arkohut/jina-embeddings-v2-base-en,186112,0,2026-05-19 08:02:26.173196
ricdomolm/mini-coder-1.7b,11619105,693,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,253286,138,2026-05-19 08:02:26.173196
unslothai/other,7027876,237,2026-05-19 08:02:26.173196
unsloth/Qwen3-Coder-Next-GGUF,184852,60,2026-05-19 08:02:26.173196
microsoft/harrier-oss-v1-0.6b,544435,460,2026-05-19 08:02:26.173196
facebook/w2v-bert-2.0,1024438,1024,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-3B,182751,680,2026-05-19 08:02:26.173196
Qwen/Qwen3-14B,1432437,42,2026-05-19 08:02:26.173196
facebook/bart-base,1217333,0,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V3,182751,284,2026-05-19 08:02:26.173196
apple/OpenELM-1_1B-Instruct,2215862,0,2026-05-19 08:02:26.173196
mixedbread-ai/deepset-mxbai-embed-de-large-v1,1829023,40,2026-05-19 08:02:26.173196
unslothai/vram-96,1714626,38,2026-05-19 08:02:26.173196
google/gemma-3-270m,194203,1093,2026-05-19 08:02:26.173196
microsoft/codebert-base,186481,28,2026-05-19 08:02:26.173196
EleutherAI/pythia-70m-deduped,1358528,56,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-3B,902418,664,2026-05-19 08:02:26.173196
arkohut/jina-embeddings-v2-base-en,1125934,3243,2026-05-19 08:02:26.173196
voyageai/voyage-4-nano,1918677,3142,2026-05-19 08:02:26.173196
Qwen/Qwen3-14B,847756,1250,2026-05-19 08:02:26.173196
BAAI/bge-reranker-large,2370842,33,2026-05-19 08:02:26.173196
Xenova/multilingual-e5-small,944922,0,2026-05-19 08:02:26.173196
danielheinz/e5-base-sts-en-de,544435,3,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,381113,736,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-14B-Instruct,763364,33,2026-05-19 08:02:26.173196
BAAI/bge-base-en-v1.5,913802,4786,2026-05-19 08:02:26.173196
Qwen/Qwen3-8B,1122052,43,2026-05-19 08:02:26.173196
unslothai/aws,6667164,1,2026-05-19 08:02:26.173196
mesolitica/llama2-embedding-1b-8k,1650353,162,2026-05-19 08:02:26.173196
Xenova/all-MiniLM-L6-v2,236143,117,2026-05-19 08:02:26.173196
BAAI/bge-base-zh-v1.5,430141,63,2026-05-19 08:02:26.173196
prefeitura-rio/Rio-3.0-Open-Mini,597147,48,2026-05-19 08:02:26.173196
unslothai/aws,1621097,7,2026-05-19 08:02:26.173196
danielheinz/e5-base-sts-en-de,904087,1284,2026-05-19 08:02:26.173196
facebook/opt-125m,247651,9,2026-05-19 08:02:26.173196
mistralai/Mistral-7B-v0.1,305161,307,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,195382,307,2026-05-19 08:02:26.173196
jinaai/jina-clip-v2,763364,0,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-14B-Instruct-AWQ,1082576,1586,2026-05-19 08:02:26.173196
openai/gpt-oss-120b,1650353,72,2026-05-19 08:02:26.173196
openai-community/gpt2-large,904087,4786,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-3B-Instruct,1650353,42,2026-05-19 08:02:26.173196
facebook/bart-large,483095,0,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-1B-Instruct,4059743,6535,2026-05-19 08:02:26.173196
voyageai/voyage-4-nano,1082576,630,2026-05-19 08:02:26.173196
microsoft/codebert-base,646728,35,2026-05-19 08:02:26.173196
unslothai/other,5959914,1586,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v2-base-code,3027273,2385,2026-05-19 08:02:26.173196
danielheinz/e5-base-sts-en-de,2370842,19,2026-05-19 08:02:26.173196
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,430141,17,2026-05-19 08:02:26.173196
princeton-nlp/sup-simcse-roberta-base,217155,0,2026-05-19 08:02:26.173196
Qwen/Qwen3-30B-A3B-Instruct-2507,849500,398,2026-05-19 08:02:26.173196
ntu-spml/distilhubert,12975576,0,2026-05-19 08:02:26.173196
indobenchmark/indobert-base-p1,1625457,13331,2026-05-19 08:02:26.173196
Qwen/Qwen3-30B-A3B,597147,4,2026-05-19 08:02:26.173196
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,1904267,1151,2026-05-19 08:02:26.173196
zai-org/GLM-5.1-FP8,215045,113,2026-05-19 08:02:26.173196
laion/larger_clap_general,510062,2766,2026-05-19 08:02:26.173196
allenai/specter2_base,12975576,156,2026-05-19 08:02:26.173196
farbodtavakkoli/OTel-Embedding-300M,1705177,1,2026-05-19 08:02:26.173196
distilbert/distilgpt2,441620,49,2026-05-19 08:02:26.173196
sentence-transformers/distilbert-base-nli-mean-tokens,183775,61,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v2-base-de,156967,4069,2026-05-19 08:02:26.173196
jinaai/jina-embeddings-v5-text-small,857251,64,2026-05-19 08:02:26.173196
nvidia/Kimi-K2.5-NVFP4,182751,0,2026-05-19 08:02:26.173196
nlpai-lab/KURE-v1,208708,19,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,155460,711,2026-05-19 08:02:26.173196
meta-llama/Llama-3.2-1B,913802,92,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-14B-Instruct-AWQ,1432437,224,2026-05-19 08:02:26.173196
mistralai/Mistral-7B-v0.1,12975576,463,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-Coder-7B-Instruct,1024438,0,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V3.2,215070,739,2026-05-19 08:02:26.173196
unslothai/vram-16,9414291,56,2026-05-19 08:02:26.173196
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,918839,53,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V4-Pro,372070,940,2026-05-19 08:02:26.173196
BAAI/bge-small-en,1024438,4,2026-05-19 08:02:26.173196
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,1424640,598,2026-05-19 08:02:26.173196
Qwen/Qwen3-8B,139259,237,2026-05-19 08:02:26.173196
nreimers/TinyBERT_L-4_H-312_v2,1189763,43,2026-05-19 08:02:26.173196
sshleifer/tiny-gpt2,208708,141,2026-05-19 08:02:26.173196
facebook/hubert-base-ls960,988830,138,2026-05-19 08:02:26.173196
meta-llama/Meta-Llama-3-8B,904087,105,2026-05-19 08:02:26.173196
nm-testing/SmolLM-1.7B-Instruct-quantized.w4a16,1336642,1023,2026-05-19 08:02:26.173196
sonoisa/sentence-bert-base-ja-mean-tokens,1998112,1434,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-1.5B-Instruct-AWQ,14636266,40,2026-05-19 08:02:26.173196
zai-org/GLM-5.1-FP8,1996702,630,2026-05-19 08:02:26.173196
dmis-lab/biobert-v1.1,121722,16,2026-05-19 08:02:26.173196
Qwen/Qwen3-Embedding-0.6B,1432437,0,2026-05-19 08:02:26.173196
RedHatAI/Qwen2.5-1.5B-quantized.w8a8,1714626,709,2026-05-19 08:02:26.173196
unslothai/1,1359486,798,2026-05-19 08:02:26.173196
IAMJB/RadEvalModernBERT,1690803,58,2026-05-19 08:02:26.173196
meta-llama/Meta-Llama-3-8B,167628,6535,2026-05-19 08:02:26.173196
BAAI/bge-small-zh-v1.5,1208461,16,2026-05-19 08:02:26.173196
ai-forever/FRIDA,1311083,1,2026-05-19 08:02:26.173196
binedge/Qwen3-Embedding-0.6B-FP8,215045,60,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-7B-Instruct-AWQ,165335,48,2026-05-19 08:02:26.173196
h2oai/h2ovl-mississippi-2b,510062,625,2026-05-19 08:02:26.173196
nvidia/Gemma-4-31B-IT-NVFP4,4289450,5,2026-05-19 08:02:26.173196
TinyLlama/TinyLlama-1.1B-Chat-v1.0,7705517,97,2026-05-19 08:02:26.173196
ibm-research/MoLFormer-XL-both-10pct,4800777,16,2026-05-19 08:02:26.173196
unslothai/vram-16,202520,1,2026-05-19 08:02:26.173196
unslothai/vram-48,264688,68,2026-05-19 08:02:26.173196
microsoft/codebert-base,3607610,0,2026-05-19 08:02:26.173196
facebook/bart-base,4800777,2134,2026-05-19 08:02:26.173196
openai-community/gpt2-large,1049927,20,2026-05-19 08:02:26.173196
BAAI/bge-reranker-large,2977158,953,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-V3.2,153949,622,2026-05-19 08:02:26.173196
BAAI/bge-small-zh-v1.5,413216,16,2026-05-19 08:02:26.173196
kyutai/mimi,234562,693,2026-05-19 08:02:26.173196
bosonai/hubert_base,156967,201,2026-05-19 08:02:26.173196
mistralai/Mistral-7B-Instruct-v0.2,7743597,406,2026-05-19 08:02:26.173196
relik-ie/encoder-e5-small-v2-wikipedia-relations,7248761,3,2026-05-19 08:02:26.173196
unslothai/repeat,588908,398,2026-05-19 08:02:26.173196
google/t5gemma-s-s-prefixlm,1996702,0,2026-05-19 08:02:26.173196
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,3502000,3,2026-05-19 08:02:26.173196
Qwen/Qwen2.5-1.5B-Instruct,510062,0,2026-05-19 08:02:26.173196
YituTech/conv-bert-base,2786497,11,2026-05-19 08:02:26.173196
Qwen/Qwen3-8B,1829023,58,2026-05-19 08:02:26.173196
microsoft/harrier-oss-v1-270m,215045,4069,2026-05-19 08:02:26.173196
deepseek-ai/DeepSeek-R1,987476,138,2026-05-19 08:02:26.173196
Qwen/Qwen3-14B,987476,301,2026-05-19 08:02:26.173196
