id,name,org,family,release_date,architecture,param_count_b,context_length,is_open_source,is_multimodal,supports_function_calling,license,hf_model_id,tags,is_multimodal_or
Qwen/Qwen3-4B,Qwen/Qwen3-4B,Qwen,Qwen,2025-04-27 03:41:29+00:00,transformer,4.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-4B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-4B-Base', 'base_model:finetune:Qwen/Qwen3-4B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-32B,Qwen/Qwen3-32B,Qwen,Qwen,2025-04-27 03:52:59+00:00,transformer,32.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-32B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-4B-Instruct-2507,Qwen/Qwen3-4B-Instruct-2507,Qwen,Qwen,2025-08-05 10:58:03+00:00,transformer,4.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-4B-Instruct-2507,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'license:apache-2.0', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,trl-internal-testing,Qwen,2024-11-25 15:06:15+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'trl', 'conversational', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,Qwen,Qwen,2024-09-16 11:52:46+00:00,transformer,0.5,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-0.5B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-0.5B', 'base_model:finetune:Qwen/Qwen2.5-0.5B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
openai/gpt-oss-120b,openai/gpt-oss-120b,openai,GPT,2025-08-04 22:33:06+00:00,transformer,120.0,131072.0,True,False,False,apache-2.0,openai/gpt-oss-120b,"['transformers', 'safetensors', 'gpt_oss', 'text-generation', 'vllm', 'conversational', 'license:apache-2.0', 'eval-results', 'endpoints_compatible', '8-bit', 'mxfp4', 'deploy:azure', 'region:us']",False
dphn/dolphin-2.9.1-yi-1.5-34b,dphn/dolphin-2.9.1-yi-1.5-34b,dphn,Phi,2024-05-18 04:50:56+00:00,transformer,34.0,131072.0,True,False,False,apache-2.0,dphn/dolphin-2.9.1-yi-1.5-34b,"['transformers', 'safetensors', 'llama', 'text-generation', 'generated_from_trainer', 'axolotl', 'conversational', 'dataset:cognitivecomputations/Dolphin-2.9', 'dataset:teknium/OpenHermes-2.5', 'dataset:m-a-p/CodeFeedback-Filtered-Instruction', 'dataset:cognitivecomputations/dolphin-coder', 'dataset:cognitivecomputations/samantha-data', 'dataset:microsoft/orca-math-word-problems-200k', 'dataset:Locutusque/function-calling-chatml', 'dataset:internlm/Agent-FLAN', 'base_model:01-ai/Yi-1.5-34B', 'base_model:finetune:01-ai/Yi-1.5-34B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2-1.5B-Instruct,Qwen,Qwen,2024-06-03 09:08:12+00:00,transformer,1.5,131072.0,True,False,False,apache-2.0,Qwen/Qwen2-1.5B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
deepseek-ai/DeepSeek-V3.2,deepseek-ai/DeepSeek-V3.2,deepseek-ai,DeepSeek,2025-12-01 02:34:49+00:00,transformer,7.0,131072.0,True,False,False,mit,deepseek-ai/DeepSeek-V3.2,"['transformers', 'safetensors', 'deepseek_v32', 'text-generation', 'conversational', 'base_model:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'base_model:finetune:deepseek-ai/DeepSeek-V3.2-Exp-Base', 'license:mit', 'eval-results', 'endpoints_compatible', 'fp8', 'region:us']",False
deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1,deepseek-ai,DeepSeek,2025-01-20 03:46:07+00:00,transformer,7.0,131072.0,True,False,False,mit,deepseek-ai/DeepSeek-R1,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'license:mit', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'fp8', 'region:us']",False
Qwen/Qwen3Guard-Gen-0.6B,Qwen/Qwen3Guard-Gen-0.6B,Qwen,Qwen,2025-09-23 11:35:17+00:00,transformer,0.6,131072.0,True,False,False,apache-2.0,Qwen/Qwen3Guard-Gen-0.6B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-0.6B', 'base_model:finetune:Qwen/Qwen3-0.6B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
deepseek-ai/DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,deepseek-ai,DeepSeek,2026-04-22 06:04:45+00:00,transformer,7.0,131072.0,True,False,False,mit,deepseek-ai/DeepSeek-V4-Pro,"['transformers', 'safetensors', 'deepseek_v4', 'text-generation', 'conversational', 'license:mit', 'eval-results', 'endpoints_compatible', '8-bit', 'fp8', 'region:us']",False
Qwen/Qwen3-1.7B,Qwen/Qwen3-1.7B,Qwen,Qwen,2025-04-27 03:41:05+00:00,transformer,1.7,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-1.7B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-1.7B-Base', 'base_model:finetune:Qwen/Qwen3-1.7B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
hmellor/tiny-random-LlamaForCausalLM,hmellor/tiny-random-LlamaForCausalLM,hmellor,Llama,2025-04-29 21:47:13+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,hmellor/tiny-random-LlamaForCausalLM,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.2,mistralai,Mistral,2023-12-11 13:18:44+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,mistralai/Mistral-7B-Instruct-v0.2,"['transformers', 'pytorch', 'safetensors', 'mistral', 'text-generation', 'finetuned', 'mistral-common', 'conversational', 'license:apache-2.0', 'text-generation-inference', 'region:us', 'deploy:azure']",False
distilbert/distilgpt2,distilbert/distilgpt2,distilbert,GPT,2022-03-02 23:29:04+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,distilbert/distilgpt2,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'coreml', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'dataset:openwebtext', 'license:apache-2.0', 'model-index', 'co2_eq_emissions', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
EleutherAI/pythia-160m,EleutherAI/pythia-160m,EleutherAI,Pythia,2023-02-08 19:25:46+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,EleutherAI/pythia-160m,"['transformers', 'pytorch', 'safetensors', 'gpt_neox', 'text-generation', 'causal-lm', 'pythia', 'en', 'dataset:EleutherAI/pile', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
google/gemma-3-270m,google/gemma-3-270m,google,Gemma,2025-08-05 18:50:31+00:00,transformer,7.0,131072.0,True,False,False,gemma,google/gemma-3-270m,"['transformers', 'safetensors', 'gemma3_text', 'text-generation', 'gemma3', 'gemma', 'google', 'license:gemma', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
unsloth/Qwen3-Coder-Next-GGUF,unsloth/Qwen3-Coder-Next-GGUF,unsloth,Qwen,2026-02-03 13:10:01+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,unsloth/Qwen3-Coder-Next-GGUF,"['gguf', 'qwen3_next', 'unsloth', 'qwen', 'qwen3', 'text-generation', 'base_model:Qwen/Qwen3-Coder-Next', 'base_model:quantized:Qwen/Qwen3-Coder-Next', 'license:apache-2.0', 'endpoints_compatible', 'region:us', 'imatrix', 'conversational']",False
meta-llama/Meta-Llama-3-8B,meta-llama/Meta-Llama-3-8B,meta-llama,Llama,2024-04-17 09:35:16+00:00,transformer,8.0,131072.0,True,False,False,llama3,meta-llama/Meta-Llama-3-8B,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'license:llama3', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama,Llama,2023-12-30 06:27:30+00:00,transformer,1.1,131072.0,True,False,False,apache-2.0,TinyLlama/TinyLlama-1.1B-Chat-v1.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'en', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:HuggingFaceH4/ultrachat_200k', 'dataset:HuggingFaceH4/ultrafeedback_binarized', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,Andycurrent,Gemma,2026-02-18 09:56:14+00:00,transformer,1.0,131072.0,True,False,False,gemma,Andycurrent/Gemma-3-1B-it-GLM-4.7-Flash-Heretic-Uncensored-Thinking_GGUF,"['gguf', 'uncensored', 'text-generation', 'reasoning', 'instruction-tuned', 'lightweight', 'en', 'base_model:google/gemma-3-1b-it', 'base_model:quantized:google/gemma-3-1b-it', 'license:gemma', 'endpoints_compatible', 'region:us', 'conversational']",False
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen/Qwen2.5-Coder-7B-Instruct,Qwen,Qwen,2024-09-17 13:38:49+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-Coder-7B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'codeqwen', 'chat', 'qwen', 'qwen-coder', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-Coder-7B', 'base_model:finetune:Qwen/Qwen2.5-Coder-7B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen2.5-14B-Instruct,Qwen/Qwen2.5-14B-Instruct,Qwen,Qwen,2024-09-16 11:56:10+00:00,transformer,14.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-14B-Instruct,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-14B', 'base_model:finetune:Qwen/Qwen2.5-14B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B,Qwen,Qwen,2024-09-15 12:15:39+00:00,transformer,0.5,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-0.5B,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-0.6B-FP8,Qwen/Qwen3-0.6B-FP8,Qwen,Qwen,2025-04-28 12:26:36+00:00,transformer,0.6,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-0.6B-FP8,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-0.6B', 'base_model:quantized:Qwen/Qwen3-0.6B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'fp8', 'region:us']",False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,meta-llama,Llama,2024-09-18 15:19:20+00:00,transformer,3.0,131072.0,True,False,False,llama3.2,meta-llama/Llama-3.2-3B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen3-14B,Qwen/Qwen3-14B,Qwen,Qwen,2025-04-27 03:42:45+00:00,transformer,14.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-14B,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-14B-Base', 'base_model:finetune:Qwen/Qwen3-14B-Base', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen,Qwen,2024-09-17 13:55:09+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-7B-Instruct-AWQ,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-7B-Instruct', 'base_model:quantized:Qwen/Qwen2.5-7B-Instruct', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",False
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,RedHatAI,Llama,2024-09-25 19:49:29+00:00,transformer,1.0,131072.0,True,False,False,llama3.2,RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,"['safetensors', 'llama', 'fp8', 'vllm', 'text-generation', 'conversational', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.2-1B-Instruct', 'base_model:quantized:meta-llama/Llama-3.2-1B-Instruct', 'license:llama3.2', 'compressed-tensors', 'region:us']",False
nvidia/Gemma-4-31B-IT-NVFP4,nvidia/Gemma-4-31B-IT-NVFP4,nvidia,Gemma,2026-04-02 16:47:30+00:00,transformer,31.0,131072.0,True,False,False,other,nvidia/Gemma-4-31B-IT-NVFP4,"['Model Optimizer', 'safetensors', 'gemma4', 'nvidia', 'ModelOpt', 'Gemma-4-31B-IT', 'lighthouse', 'quantized', 'NVFP4', 'text-generation', 'conversational', 'base_model:google/gemma-4-31B-it', 'base_model:quantized:google/gemma-4-31B-it', 'license:other', 'modelopt', 'deploy:azure', 'region:us']",False
Qwen/Qwen3-8B-AWQ,Qwen/Qwen3-8B-AWQ,Qwen,Qwen,2025-05-03 03:20:49+00:00,transformer,8.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-8B-AWQ,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-8B', 'base_model:quantized:Qwen/Qwen3-8B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",False
deepseek-ai/DeepSeek-R1-0528,deepseek-ai/DeepSeek-R1-0528,deepseek-ai,DeepSeek,2025-05-28 09:46:42+00:00,transformer,7.0,131072.0,True,False,False,mit,deepseek-ai/DeepSeek-R1-0528,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'license:mit', 'eval-results', 'text-generation-inference', 'endpoints_compatible', 'fp8', 'region:us']",False
deepseek-ai/DeepSeek-V4-Flash,deepseek-ai/DeepSeek-V4-Flash,deepseek-ai,DeepSeek,2026-04-22 06:04:20+00:00,transformer,7.0,131072.0,True,False,False,mit,deepseek-ai/DeepSeek-V4-Flash,"['transformers', 'safetensors', 'deepseek_v4', 'text-generation', 'conversational', 'license:mit', 'eval-results', 'endpoints_compatible', '8-bit', 'fp8', 'region:us']",False
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen,Qwen,2024-09-17 13:55:22+00:00,transformer,14.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-14B-Instruct-AWQ,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-14B-Instruct', 'base_model:quantized:Qwen/Qwen2.5-14B-Instruct', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",False
EleutherAI/pythia-70m-deduped,EleutherAI/pythia-70m-deduped,EleutherAI,Pythia,2023-02-13 16:01:41+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,EleutherAI/pythia-70m-deduped,"['transformers', 'pytorch', 'safetensors', 'gpt_neox', 'text-generation', 'causal-lm', 'pythia', 'en', 'dataset:EleutherAI/the_pile_deduplicated', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,Qwen,2025-07-31 07:04:55+00:00,transformer,30.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-Coder-30B-A3B-Instruct,"['transformers', 'safetensors', 'qwen3_moe', 'text-generation', 'conversational', 'license:apache-2.0', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
moonshotai/Kimi-K2-Instruct-0905,moonshotai/Kimi-K2-Instruct-0905,moonshotai,Qwen,2025-09-03 03:34:36+00:00,transformer,7.0,131072.0,True,False,False,other,moonshotai/Kimi-K2-Instruct-0905,"['transformers', 'safetensors', 'kimi_k2', 'text-generation', 'conversational', 'custom_code', 'license:other', 'eval-results', 'endpoints_compatible', 'fp8', 'region:us']",False
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B,Qwen,Qwen,2024-09-15 12:17:40+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-7B,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'en', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'deploy:azure', 'region:us']",False
meta-llama/Llama-3.2-1B,meta-llama/Llama-3.2-1B,meta-llama,Llama,2024-09-18 15:03:14+00:00,transformer,1.0,131072.0,True,False,False,llama3.2,meta-llama/Llama-3.2-1B,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'license:llama3.2', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen3-30B-A3B,Qwen/Qwen3-30B-A3B,Qwen,Qwen,2025-04-27 03:43:05+00:00,transformer,30.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-30B-A3B,"['transformers', 'safetensors', 'qwen3_moe', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-30B-A3B-Base', 'base_model:finetune:Qwen/Qwen3-30B-A3B-Base', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,Qwen,Qwen,2024-11-09 12:45:43+00:00,transformer,14.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'code', 'codeqwen', 'chat', 'qwen', 'qwen-coder', 'conversational', 'en', 'base_model:Qwen/Qwen2.5-Coder-14B-Instruct', 'base_model:quantized:Qwen/Qwen2.5-Coder-14B-Instruct', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'deploy:azure', 'region:us']",False
HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB,Qwen,2024-10-31 13:41:10+00:00,transformer,7.0,131072.0,True,False,False,apache-2.0,HuggingFaceTB/SmolLM2-135M-Instruct,"['transformers', 'tensorboard', 'onnx', 'safetensors', 'llama', 'text-generation', 'transformers.js', 'conversational', 'en', 'base_model:HuggingFaceTB/SmolLM2-135M', 'base_model:quantized:HuggingFaceTB/SmolLM2-135M', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', 'region:us']",False
Qwen/Qwen3-14B-AWQ,Qwen/Qwen3-14B-AWQ,Qwen,Qwen,2025-05-01 10:46:38+00:00,transformer,14.0,131072.0,True,False,False,apache-2.0,Qwen/Qwen3-14B-AWQ,"['transformers', 'safetensors', 'qwen3', 'text-generation', 'conversational', 'base_model:Qwen/Qwen3-14B', 'base_model:quantized:Qwen/Qwen3-14B', 'license:apache-2.0', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",False
nvidia/DeepSeek-R1-0528-NVFP4-v2,nvidia/DeepSeek-R1-0528-NVFP4-v2,nvidia,DeepSeek,2025-07-21 21:33:03+00:00,transformer,7.0,131072.0,True,False,False,mit,nvidia/DeepSeek-R1-0528-NVFP4-v2,"['Model Optimizer', 'safetensors', 'deepseek_v3', 'nvidia', 'ModelOpt', 'DeepSeekR1', 'quantized', 'FP4', 'text-generation', 'conversational', 'custom_code', 'base_model:deepseek-ai/DeepSeek-R1-0528', 'base_model:finetune:deepseek-ai/DeepSeek-R1-0528', 'license:mit', '8-bit', 'region:us']",False
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,meta-llama,Llama,2024-04-17 09:35:12+00:00,transformer,8.0,131072.0,True,False,False,llama3,meta-llama/Meta-Llama-3-8B-Instruct,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'pytorch', 'llama-3', 'conversational', 'en', 'license:llama3', 'text-generation-inference', 'endpoints_compatible', 'region:us', 'deploy:azure']",False
zai-org/GLM-5-FP8,zai-org/GLM-5-FP8,zai-org,Qwen,2026-02-11 04:05:41+00:00,transformer,7.0,131072.0,True,False,False,mit,zai-org/GLM-5-FP8,"['transformers', 'safetensors', 'glm_moe_dsa', 'text-generation', 'conversational', 'en', 'zh', 'license:mit', 'endpoints_compatible', 'fp8', 'region:us']",False
